<mgsvp;
ORDERED
<

ACT     MSCBC2                    AD-288  TIME 20250914 1324  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-8617441450000            4          1
4-48601000297              5          2
4-33191226760011         194        161
4-213661009500           898        723
4-34642200026              9          5
4-14174000022            565        487
4-212661000772           112         89
4-203059968072             3          3
4-33695000399            289        187
4-4366401100              43         28
4-212699790097            54         41
4-33191224620624         590        460
4-447953795221            33         28
4-46705005207              5          5
4-33191316540124        2894       1629
4-33191224620625         674        534
4-14054749444              4          1
4-393205800010           161        116
4-33191237670035          82         59
4-33191237690039         531        392
4-331912237600175        136        101
4-33191491720335          13         10
4-212663990030           186        115
4-3319120120510            8          5
4-33191316540258          40         29
4-19703769822             26         17
4-447953700225             10          10
4-32495000620            106         94
4-34622993899            108         83
4-491700600312             7          7
4-331912237600173        141        108
4-33191443850019         111         84
4-46707990051             98         25
4-33660005100            423        281
4-33689002869            118        101
4-905329326000            41         32
4-33689002872             72         62
4-34609190447             45         32
4-491700800311             8          8
4-33689002877             48         42
4-331912237600174        131        100
4-491700600116             10          7
4-447953700201            20         15
4-32495000630             86         71
4-48881100010             43         16
4-33191225070198         449        356
4-33191407220043          23         17
4-33191346070648           4          1
4-33689002868            133        110
4-919894000048            13          6
4-33689202876             92         75
4-57579499110              5          5
4-331912348030038        150        112
4-33191491920109           9          6
4-393358999737           104         67
4-33689008255            195        157
4-33689002863            103         82
4-34054729356              3          3
4-46708000984            457        399
4-417949983007008          7          4
4-8614755400000            4          4
4-33689002862             98         83
4-32495005650             43         17
4-33191393490277          16         11
4-491760003010            13          9
4-352621100057            61         34
4-883130000011000        633        231
4-19703769825             48         33
4-19703769823             24         13
4-33889002901             38         33
4-5519120120524            5          2
4-33191224660015          49         37
4-33191346560155          14          8
4-33191691720345          16         11
4-491960003022            19         16
4-491700600126           372        266
4-19703769838             13          4
4-919849001358             4          4
4-491700800115             8          5
4-33191491720158           8          5
4-907790000227             7          4
4-38267300069              3          3
4-41765900130            198        176
4-33689002902            129        101
4-13603399695             59         15
4-19703769834             14          4
4-19703769810            121         29
4-8635905320000            3          3
4-33689002861            120        105
4-3311114111720132           11          11
4-33689002904             99         75
4-32495000610            116        103
4-79219600076             15          9
4-274722700120             7          4
4-79367494333              3          3
4-491700600107             10          7
4-33689002903             51         47
4-447488200127            32         27
4-201079968078             7          1
4-33689008891             12          8
4-393519999399           436        363
4-4740390932               7          4
4-33191516540091          15         15
4-4111760003005             11          7
4-221966600939             9          6
4-32495000640             101         89
4-918382784242             8          4
4-22222997007             70         47
4-882285000008000        264         32
4-96596909414             23         18
4-863320038020             3          0
4-491900600148             9          4
4-447802002260            44         21
4-33689008881             18         13
4-19703769829             75         50
4-32475002533            161        134
6-35988000201              6          3
4-21650000097         835124     789528
4-447953700203            21         17
4-33689002905            140        112
4-24166228882             31         26
4-393358840738034         65         52
4-491700600122             10          5
4-32486000006            183        163
4-33689002878             61         51
4-79112009905              5          5
4-966505000000           105         93
4-491700600301            17         10
4-447953700209            13          9
4-4111760003020             11          8
4-436990071205            15         15
6-201059968069             6          2
4-6281107108              28         14
4-33609009909             33         20
4-447953700215            18         14
4-79367494335              3          3
4-331912507100012           10          10
4-46909000295              9          9
4-3319120120470            7          4
4-905590000439             4          1
4-8633240940003            3          3
4-331911514420022         29         24
4-491700600121             5          2
6-667953700260             6          3
4-33191316540143           4          1
4-61411999020              5          2
4-905590000223             3          3
4-17057969230             88         67
4-393358840759819         30         22
4-33191221770046          53         38
4-21650000004             27         18
4-33689003033            851        707
4-331111485010106           11          6
4-33609009915             33         23
4-23599999952             34         26
4-13603399697             23          6
4-19703769807             25         14
4-34054729364              3          3
4-324750004055623         62         46
4-54609091004              5          5
4-8635384340000            3          0
4-33609009914             37         28
4-331914105010103           10          5
4-821196580000            24         20
4-447488200124            23         19
4-393533000028            17         14
4-447802002730             11          11
4-447802002731            16         16
4-34642200029             13          9
4-551914219050055          5          5
4-447802002267            68         43
