country,carrier_name,CC,NDC,prefix
France,Orange,33,3319,3319
France,Orange,33,6001,336001
France,SFR,33,6002,336002
France,Bouygues,33,6003,336003
France,Orange,33,60041,3360041
France,Orange,33,60051,3360051
France,SFR,33,60052,3360052
France,Free,33,6006,336006
France,SFR,33,6007,336007
France,Orange,33,6008,336008
France,Bouygues,33,6009,336009
France,SFR,33,601,33601
France,SFR,33,602,33602
France,SFR,33,603,33603
France,SFR,33,6045,336045
France,SFR,33,6046,336046
France,SFR,33,6047,336047
France,SFR,33,6048,336048
France,SFR,33,6049,336049
France,Orange,33,607,33607
France,Orange,33,608,33608
France,SFR,33,609,33609
France,SFR,33,61,3361
France,SFR,33,62,3362
France,Orange,33,63,3363
France,SFR,33,634,33634
France,SFR,33,635,33635
France,Orange,33,640,33640
France,SFR,33,64166,3364166
France,SFR,33,64167,3364167
France,SFR,33,64168,3364168
France,SFR,33,64169,3364169
France,Orange,33,642,33642
France,Orange,33,643,33643
France,Orange,33,6441,336441
France,Orange,33,6442,336442
France,Orange,33,6443,336443
France,Orange,33,645,33645
France,SFR,33,646,33646
France,Orange,33,647,33647
France,Orange,33,648,33648
France,Orange,33,649,33649
France,SFR,33,64999,3364999
France,Bouygues,33,650,33650
France,Free,33,651,33651
France,Free,33,652,33652
France,Bouygues,33,6530,336530
France,Bouygues,33,6531,336531
France,Bouygues,33,6532,336532
France,Bouygues,33,6533,336533
France,Bouygues,33,6534,336534
France,Free,33,6535,336535
France,Free,33,6536,336536
France,Free,33,6537,336537
France,Free,33,6538,336538
France,Free,33,6539,336539
France,Orange,33,654,33654
France,SFR,33,655,33655
France,Bouygues,33,658,33658
France,Bouygues,33,659,33659
France,Bouygues,33,66,3366
France,Orange,33,67,3367
France,Orange,33,68,3368
France,Free,33,695,33695
France,Bouygues,33,698,33698
France,Bouygues,33,699,33699
France,SFR,33,7501,337501
France,SFR,33,7502,337502
France,SFR,33,7503,337503
France,SFR,33,7504,337504
France,Orange,33,7506,337506
France,Bouygues,33,75078,3375078
France,Bouygues,33,75079,3375079
France,SFR,33,7508,337508
France,SFR,33,7509,337509
France,SFR,33,7516,337516
France,SFR,33,7526,337526
France,SFR,33,75433,3375433
France,SFR,33,75644,3375644
France,SFR,33,75645,3375645
France,SFR,33,75708,3375708
France,SFR,33,75709,3375709
France,SFR,33,75710,3375710
France,SFR,33,75711,3375711
France,SFR,33,75712,3375712
France,SFR,33,75714,3375714
France,Orange,33,75719,3375719
France,SFR,33,75761,3375761
France,Bouygues,33,75764,3375764
France,Bouygues,33,75765,3375765
France,SFR,33,75770,3375770
France,SFR,33,75771,3375771
France,SFR,33,75772,3375772
France,SFR,33,75773,3375773
France,SFR,33,75774,3375774
France,SFR,33,75778,3375778
France,Orange,33,75786,3375786
France,Bouygues,33,76,3376
France,Free,33,766,33766
France,Free,33,767,33767
France,Free,33,768,33768
France,Free,33,769,33769
France,Orange,33,7700,337700
France,Orange,33,7701,337701
France,Orange,33,7702,337702
France,SFR,33,7703,337703
France,SFR,33,7704,337704
France,SFR,33,7713,337713
France,SFR,33,7714,337714
France,SFR,33,77150,3377150
France,SFR,33,77151,3377151
France,SFR,33,77152,3377152
France,SFR,33,77153,3377153
France,SFR,33,77154,3377154
France,Orange,33,772,33772
France,SFR,33,7750,337750
France,SFR,33,7751,337751
France,SFR,33,7752,337752
France,SFR,33,7753,337753
France,SFR,33,7754,337754
France,Free,33,7757,337757
France,SFR,33,776,33776
France,SFR,33,777,33777
France,SFR,33,778,33778
France,SFR,33,779,33779
France,Orange,33,78,3378
France,Free,33,781,33781
France,Free,33,782,33782
France,Free,33,783,33783
Libya,Madar,218,91,21891
Libya,Madar,218,93,21893
Libya,Libyana,218,92,21892
Libya,Libyana,218,94,21894
Algeria,Mobilis,213,6,2136
Algeria,Djezzy,213,7,2137
Algeria,Ooredoo,213,5,2135
Saudi Arabia,STC,966,50,96650
Saudi Arabia,STC,966,53,96653
Saudi Arabia,STC,966,55,96655
Saudi Arabia,Mobily,966,54,96654
Saudi Arabia,Mobily,966,56,96656
Saudi Arabia,Zain,966,58,96658
Saudi Arabia,Zain,966,59,96659
Italy,WIND,39,323,39323
Italy,TIM,39,334,39334
Italy,TIM,39,339,39339
Italy,Iliad,39,3213,393213
Italy,Iliad,39,3216,393216
Italy,Iliad,39,334,39334
Italy,Iliad,39,346,39346
Italy,Iliad,39,3512,393512
Italy,Iliad,39,3518,393518
Italy,Iliad,39,3520,393520
Italy,Iliad,39,3533,393533
Italy,Iliad,39,371,39371
Italy,Vodafone,39,324,39324
Italy,WIND,39,320,39320
Italy,TIM,39,338,39338
Italy,TIM,39,360,39360
Italy,TIM,39,366,39366
Italy,Iliad,39,324,39324
Italy,Iliad,39,342,39342
Italy,Iliad,39,349,39349
Italy,Iliad,39,389,39389
Italy,WIND,39,380,39380
Italy,WIND,39,88,3988
Italy,TIM,39,335,39335
Italy,TIM,39,363,39363
Italy,Iliad,39,3211,393211
Italy,Iliad,39,3215,393215
Italy,Iliad,39,337,39337
Italy,Iliad,39,340,39340
Italy,Iliad,39,3514,393514
Italy,Iliad,39,3515,393515
Italy,Iliad,39,3517,393517
Italy,Iliad,39,373,39373
Italy,Iliad,39,02,3902
Italy,DigiItlySRL,39,3533,393533
Italy,H3G,39,391,39391
Italy,H3G,39,99,3999
Italy,Tel. Italia,39,,39
Italy,WIND,39,329,39329
Italy,WIND,39,,39
Italy,TIM,39,337,39337
Italy,TIM,39,370,39370
Italy,Iliad,39,3214,393214
Italy,Iliad,39,327,39327
Italy,Iliad,39,333,39333
Italy,Iliad,39,3510,393510
Italy,Iliad,39,3516,393516
Italy,Iliad,39,3519,393519
Italy,Iliad,39,3756,393756
Italy,Iliad,39,385,39385
Italy,Iliad,39,392,39392
Italy,Iliad,39,393,39393
Italy,Tel. Italia,39,01,3901
Italy,TIM,39,368,39368
Italy,Iliad,39,338,39338
Italy,Iliad,39,366,39366
Italy,Iliad,39,3783,393783
Italy,Iliad,39,391,39391
Italy,Vodafone,39,10,3910
Italy,Tel. Italia,39,330,39330
Italy,WIND,39,324,39324
Italy,WIND,39,327,39327
Italy,WIND,39,388,39388
Italy,TIM,39,333,39333
Italy,TIM,39,336,39336
Italy,TIM,39,,39
Italy,Iliad,39,328,39328
Italy,Iliad,39,335,39335
Italy,Iliad,39,344,39344
Italy,Iliad,39,3511,393511
Italy,Iliad,39,368,39368
Italy,Iliad,39,3791,393791
Italy,DigiItlySRL,39,36,3936
Italy,WIND,39,328,39328
Italy,TIM,39,330,39330
Italy,TIM,39,331,39331
Italy,TIM,39,01,3901
Italy,Iliad,39,320,39320
Italy,Iliad,39,330,39330
Italy,Iliad,39,339,39339
Italy,Iliad,39,345,39345
Italy,Iliad,39,347,39347
Italy,Iliad,39,348,39348
Italy,Iliad,39,3513,393513
Italy,Iliad,39,360,39360
Italy,Iliad,39,370,39370
Italy,Iliad,39,3755,393755
Italy,Iliad,39,380,39380
Italy,WIND,39,389,39389
Italy,Iliad,39,3212,393212
Italy,Iliad,39,329,39329
Italy,Iliad,39,331,39331
Italy,Iliad,39,336,39336
Italy,Iliad,39,350,39350
Italy,Iliad,39,377,39377
Italy,Iliad,39,388,39388
Canada,Fido,1,204,1204
Canada,Rogers,1,514,1514
Canada,Rogers,1,604,1604
Canada,Rogers,1,778,1778
Canada,Telus,1,438580,1438580
Canada,Telus,1,506,1506
Canada,Telus,1,587580,1587580
Canada,Telus,1,604,1604
Canada,Telus,1,867,1867
Canada,Telus,1,,1
Canada,Rogers,1,204,1204
Canada,Rogers,1,250,1250
Canada,Rogers,1,306,1306
Canada,Rogers,1,519,1519
Canada,Rogers,1,905,1905
Canada,Telus,1,226,1226
Canada,Telus,1,613,1613
Canada,Telus,1,807,1807
Canada,Telus,1,902,1902
Canada,Rogers,1,438,1438
Canada,Rogers,1,587,1587
Canada,Rogers,1,705,1705
Canada,Rogers,1,902,1902
Canada,Telus,1,204,1204
Canada,Telus,1,514,1514
Canada,Telus,1,581,1581
Canada,Telus,1,705,1705
Canada,Telus,1,778580,1778580
Canada,Telus,1,220,1220
Canada,Eastlink,1,782,1782
Canada,Rogers,1,226,1226
Canada,Rogers,1,289,1289
Canada,Rogers,1,506,1506
Canada,Rogers,1,780,1780
Canada,Rogers,1,807,1807
Canada,Telus,1,416,1416
Canada,Telus,1,418,1418
Canada,Telus,1,438,1438
Canada,Telus,1,6472137,16472137
Canada,Telus,1,647580,1647580
Canada,Sasktel,1,780,1780
Canada,Rogers,1,418,1418
Canada,Rogers,1,709,1709
Canada,Telus,1,250,1250
Canada,Telus,1,403,1403
Canada,Telus,1,450,1450
Canada,Telus,1,587,1587
Canada,Telus,1,587588,1587588
Canada,Telus,1,647,1647
Canada,Telus,1,778,1778
Canada,Telus,1,780,1780
Canada,Fido,1,,1
Canada,Fido,1,370,1370
Canada,Rogers,1,403,1403
Canada,Rogers,1,867,1867
Canada,Rogers,1,720,1720
Canada,Telus,1,519,1519
Canada,Telus,1,709,1709
Canada,Telus,1,905,1905
Canada,Sasktel,1,639,1639
Canada,Rogers,1,581,1581
Canada,Telus,1,289,1289
Canada,Sasktel,1,306,1306
Canada,Eastlink,1,709,1709
Canada,Rogers,1,416,1416
Canada,Rogers,1,450,1450
Canada,Rogers,1,613,1613
Canada,Rogers,1,647,1647
Canada,Rogers,1,819,1819
