English Name,French Name,Dial Code,ISO Alpha-2,ISO Alpha-3
,,,"1 (242): BS
1 (246): BB
1 (264): AI
1 (268): AG
1 (284): VG","1 (340): VI
1 (345): KY"
2x,2x,20: EG,21: ↙,22: ↙
21x,21x,210: —,211: SS,"212: MA, EH"
22x,22x,220: GM,221: SN,222: MR
23x,23x,230: MU,231: LR,232: SL
24x,24x,240: GQ,241: GA,242: CG
25x,25x,250: RW,251: ET,252: SO
26x,26x,260: ZM,261: MG,"262: RE, YT,          TF"
29x,29x,"290: SH, TA",291: ER,292: —
3x,3x,30: GR,31: NL,32: BE
35x,35x,350: GI,351: PT,352: LU
37x,37x,370: LT,371: LV,372: EE
38x,38x,380: UA,381: RS,382: ME
4x,4x,40: RO,41: CH,42: ↙
42x,42x,420: CZ,421: SK,422: —
5x,5x,50: ↙,51: PE,52: MX
50x,50x,"500: FK, GS",501: BZ,502: GT
59x,59x,"590: GP, BL,           MF",591: BO,592: GY
6x,6x,60: MY,"61: AU, CX,         CC",62: ID
67x,67x,670: TL,671: —,"672: NF, AQ"
68x,68x,680: PW,681: WF,682: CK
69x,69x,690: TK,691: FM,692: MH
7 (0): KZ,7 (0): KZ,7 (1): RU,7 (2): RU,7 (3): RU
8x,8x,80: ↙,81: JP,82: KR
80x,80x,800: **,801: —,802: —
85x,85x,850: KP,851: —,852: HK
87x,87x,870: **,871: —,872: —
88x,88x,880: BD,881: **,882: **
9x,9x,"90: TR, CT",91: IN,92: PK
96x,96x,960: MV,961: LB,962: JO
97x,97x,970: PS,971: AE,"972: IL, PS"
99x,99x,990: —,991: **,992: TJ
,,x = 0,x = 1,x = 2
Abkhazia,Abkhazia,"7 (840, 940)",+03:00,
Afghanistan,Afghanistan,93,+04:30,
Åland,Åland,358 (18),+02:00,+03:00
Albania,Albania,355,+01:00,+02:00
Algeria,Algeria,213,+01:00,
American Samoa,American Samoa,1 (684),−11:00,
Andorra,Andorra,376,+01:00,+02:00
Angola,Angola,244,+01:00,
Anguilla,Anguilla,1 (264),−04:00,
Antigua and Barbuda,Antigua and Barbuda,1 (268),−04:00,
Argentina,Argentina,54,−03:00,
Armenia,Armenia,374,+04:00,
Aruba,Aruba,297,−04:00,
Ascension,Ascension,247,+00:00,
Australia,Australia,61,+08:00to10:30,+08:00to11:00
Austria,Austria,43,+01:00,+02:00
Azerbaijan,Azerbaijan,994,+04:00,
Bahamas,Bahamas,1 (242),−05:00,−04:00
Bahrain,Bahrain,973,+03:00,
Bangladesh,Bangladesh,880,+06:00,
Barbados,Barbados,1 (246),−04:00,
Belarus,Belarus,375,+03:00,
Belgium,Belgium,32,+01:00,+02:00
Belize,Belize,501,−06:00,
Benin,Benin,229,+01:00,
Bermuda,Bermuda,1 (441),−04:00,−03:00
Bhutan,Bhutan,975,+06:00,
Bolivia,Bolivia,591,−04:00,
Bonaire,Bonaire,599 (7),−04:00,
Bosnia and Herzegovina,Bosnia and Herzegovina,387,+01:00,+02:00
Botswana,Botswana,267,+02:00,
Brazil,Brazil,55,−05:00to–02:00,
British Indian Ocean Territory (Diego Garcia),British Indian Ocean Territory (Diego Garcia),246,+06:00,
British Virgin Islands,British Virgin Islands,1 (284),−04:00,
Brunei Darussalam,Brunei Darussalam,673,+08:00,
Bulgaria,Bulgaria,359,+02:00,+03:00
Burkina Faso,Burkina Faso,226,+00:00,
Burundi,Burundi,257,+02:00,
Cape Verde,Cape Verde,238,−01:00,
Cambodia,Cambodia,855,+07:00,
Cameroon,Cameroon,237,+01:00,
Canada,Canada,1,−08:00to–03:30,−07:00to–02:30
Caribbean Netherlands,Caribbean Netherlands,"599 (3, 4, 7)",−04:00,
Cayman Islands,Cayman Islands,1 (345),−05:00,
Central African Republic,Central African Republic,236,+01:00,
Chad,Chad,235,+01:00,
Chile,Chile,56,−06:00to–04:00,−05:00to–03:00
China,China,86,+08:00,
Christmas Island,Christmas Island,61 (89164),+07:00,
Cocos (Keeling) Islands,Cocos (Keeling) Islands,61 (89162),+06:30,
Colombia,Colombia,57,−05:00,
Comoros,Comoros,269,+03:00,
Congo,Congo,242,+01:00,
"Congo, Democratic Republic of the","Congo, Democratic Republic of the",243,+01:00to02:00,
Cook Islands,Cook Islands,682,−10:00,
Costa Rica,Costa Rica,506,−06:00,
Ivory Coast (Côte d'Ivoire),Ivory Coast (Côte d'Ivoire),225,+00:00,
Croatia,Croatia,385,+01:00,+02:00
Cuba,Cuba,53,−05:00,−04:00
Curaçao,Curaçao,599 (9),−04:00,
Cyprus,Cyprus,357,+02:00,+03:00
Czech Republic,Czech Republic,420,+01:00,+02:00
Denmark,Denmark,45,+01:00,+02:00
Djibouti,Djibouti,253,+03:00,
Dominica,Dominica,1 (767),−04:00,
Dominican Republic,Dominican Republic,"1 (809, 829, 849)",−04:00,
Easter Island,Easter Island,56,−06:00,−05:00
Ecuador,Ecuador,593,−06:00to–05:00,
Egypt,Egypt,20,+02:00,+03:00
El Salvador,El Salvador,503,−06:00,
Ellipso (Mobile Satellite service),Ellipso (Mobile Satellite service),"881 (2, 3)",,
EMSAT (Mobile Satellite service),EMSAT (Mobile Satellite service),882 (13),,
Equatorial Guinea,Equatorial Guinea,240,+01:00,
Eritrea,Eritrea,291,+03:00,
Estonia,Estonia,372,+02:00,+03:00
Eswatini,Eswatini,268,+02:00,
Ethiopia,Ethiopia,251,+03:00,
Falkland Islands,Falkland Islands,500,−03:00,
Faroe Islands,Faroe Islands,298,+00:00,+01:00
Fiji,Fiji,679,+12:00,+13:00
Finland,Finland,358,+02:00,+03:00
France,France,33,+01:00,+02:00
French Antilles,French Antilles,596,,
French Guiana,French Guiana,594,−03:00,
French Polynesia,French Polynesia,689,−10:00to–09:00,
Gabon,Gabon,241,+01:00,
Gambia,Gambia,220,+00:00,
Georgia,Georgia,995,+04:00,
Germany,Germany,49,+01:00,+02:00
Ghana,Ghana,233,+00:00,
Gibraltar,Gibraltar,350,+01:00,+02:00
Global Mobile Satellite System (GMSS),Global Mobile Satellite System (GMSS),881,,
Globalstar (Mobile Satellite Service),Globalstar (Mobile Satellite Service),"881 (8, 9)",,
Greece,Greece,30,+02:00,+03:00
Greenland,Greenland,299,−04:00to01:00,−03:00to00:00
Grenada,Grenada,1 (473),−04:00,
Guadeloupe,Guadeloupe,590,−04:00,
Guam,Guam,1 (671),+10:00,
Guatemala,Guatemala,502,−06:00,
Guernsey,Guernsey,"44 (1481, 7781, 7839, 7911)",+00:00,+01:00
Guinea,Guinea,224,+00:00,
Guinea-Bissau,Guinea-Bissau,245,+00:00,
Guyana,Guyana,592,−04:00,
Haiti,Haiti,509,−05:00,−04:00
Honduras,Honduras,504,−06:00,
Hong Kong,Hong Kong,852,+08:00,
Hungary,Hungary,36,+01:00,+02:00
Iceland,Iceland,354,+00:00,
ICO Global (Mobile Satellite Service),ICO Global (Mobile Satellite Service),"881 (0, 1)",,
India,India,91,+05:30,
Indonesia,Indonesia,62,+07:00to09:00,
Inmarsat SNAC,Inmarsat SNAC,870,,
International Freephone Service (UIFN),International Freephone Service (UIFN),800,,
International Networks,International Networks,"882, 883",,
International Premium Rate Service,International Premium Rate Service,979,,
International Shared Cost Service (ISCS),International Shared Cost Service (ISCS),808,,
Iran,Iran,98,+03:30,+04:30
Iraq,Iraq,964,+03:00,
Ireland,Ireland,353,+00:00,+01:00
Iridium (Mobile Satellite service),Iridium (Mobile Satellite service),"881 (6, 7)",,
