country,operator,rate,routage
Algeria,Ooredoo,10,
Algeria,Djezzy,0,
Algeria,Mobilis,90,
Canada,Bell Mobility,10,
Canada,Fido,0,
Canada,Rogers Wireless,80,
Canada,Sasktel,0,
Canada,Telus Mobility,10,
Italy,Vodafone,30,
Italy,Iliad,65,
Italy,Wind,0,
Italy,TIM,5,
Libya,Libyana,100,
Libya,Madar,0,
France,Free,15,
France,Bouygues,0,
France,SFR,0,
France,Orange,85,
United Arab Emirates,Etisalat,0,
United Arab Emirates,du,100,
Saudi Arabia,STC,10,
Saudi Arabia,Mobily,0,
Saudi Arabia,Zain,90,
Qatar,Ooredoo,10,
Qatar,Vodafone,90,
Belgium,Proximus,10,
Belgium,Orange,90,
Belgium,Base,0,
Morocco,Orange,85,
Morocco,IAM,15,
Morocco,INWI,0,
