prefix,country_alpha2,carrier_id,carrier_name,length
10,US,Cingular_Wir,Cingular Wir,
1100,US,ATTUSAFN,ATTUSAFN,
1150,US,Cingular_Wir,Cingular Wir,
1160,US,TmobileUSA,TmobileUSA,
1170,US,AT-T_MARITIM,AT-T MARITIM,
120,US,UnionFone,UnionFone,
1200,US,TmobileUSA,TmobileUSA,
1204,CA,Fido_Solutio,Fido Solutio,
120623,US,TmobileUSA,TmobileUSA,
120631,US,TmobileUSA,TmobileUSA,
1208,US,UnionFone,UnionFone,
1208597,US,AT&T_Wireles,AT&T Wireles,
12085978,US,ATTUSACC,ATTUSACC,
12085979,US,ATTUSAFN,ATTUSAFN,
120990,US,TmobileUSA,TmobileUSA,
1209904,US,AT&T_Wireles,AT&T Wireles,
1226,CA,Telus,Telus,
1230,US,TmobileUSA,TmobileUSA,
1231203,US,Cingular_Wir,Cingular Wir,
1240,US,TmobileUSA,TmobileUSA,
1240449,US,ATTAAZUS,ATTAAZUS,
1242357,BS,batelco,BaTelCo,10
1242359,BS,batelco,BaTelCo,10
1242375,BS,batelco,BaTelCo,10
1242376,BS,batelco,BaTelCo,10
1242395,BS,batelco,BaTelCo,10
1242421,BS,batelco,BaTelCo,10
1242422,BS,batelco,BaTelCo,10
1242423,BS,batelco,BaTelCo,10
1242424,BS,batelco,BaTelCo,10
1242425,BS,batelco,BaTelCo,10
1242426,BS,batelco,BaTelCo,10
1242427,BS,batelco,BaTelCo,10
1242428,BS,batelco,BaTelCo,10
1242429,BS,batelco,BaTelCo,10
1242431,BS,batelco,BaTelCo,10
1242432,BS,batelco,BaTelCo,10
1242433,BS,batelco,BaTelCo,10
1242434,BS,batelco,BaTelCo,10
1242435,BS,batelco,BaTelCo,10
1242436,BS,batelco,BaTelCo,10
1242437,BS,batelco,BaTelCo,10
1242438,BS,batelco,BaTelCo,10
1242439,BS,batelco,BaTelCo,10
1242441,BS,batelco,BaTelCo,10
1242442,BS,batelco,BaTelCo,10
1242443,BS,batelco,BaTelCo,10
1242445,BS,batelco,BaTelCo,10
1242446,BS,batelco,BaTelCo,10
1242447,BS,batelco,BaTelCo,10
1242448,BS,batelco,BaTelCo,10
1242449,BS,batelco,BaTelCo,10
1242451,BS,batelco,BaTelCo,10
1242452,BS,batelco,BaTelCo,10
1242453,BS,batelco,BaTelCo,10
1242454,BS,batelco,BaTelCo,10
1242455,BS,batelco,BaTelCo,10
1242456,BS,batelco,BaTelCo,10
1242457,BS,batelco,BaTelCo,10
1242458,BS,batelco,BaTelCo,10
1242462,BS,batelco,BaTelCo,10
1242463,BS,batelco,BaTelCo,10
1242464,BS,batelco,BaTelCo,10
1242465,BS,batelco,BaTelCo,10
1242466,BS,batelco,BaTelCo,10
1242467,BS,batelco,BaTelCo,10
1242468,BS,batelco,BaTelCo,10
124247,BS,batelco,BaTelCo,10
1242481,BS,batelco,BaTelCo,10
1242524,BS,batelco,BaTelCo,10
1242525,BS,batelco,BaTelCo,10
1242533,BS,batelco,BaTelCo,10
1242535,BS,batelco,BaTelCo,10
1242544,BS,batelco,BaTelCo,10
1242551,BS,batelco,BaTelCo,10
1242552,BS,batelco,BaTelCo,10
1242553,BS,batelco,BaTelCo,10
1242554,BS,batelco,BaTelCo,10
1242556,BS,batelco,BaTelCo,10
1242557,BS,batelco,BaTelCo,10
1242558,BS,batelco,BaTelCo,10
1242559,BS,batelco,BaTelCo,10
1242565,BS,batelco,BaTelCo,10
1242577,BS,batelco,BaTelCo,10
1242636,BS,batelco,BaTelCo,10
1242646,BS,batelco,BaTelCo,10
1242727,BS,batelco,BaTelCo,10
1242738,BS,aliv,aliv,10
1242801,BS,aliv,aliv,10
1242802,BS,aliv,aliv,10
1242803,BS,aliv,aliv,10
1242804,BS,aliv,aliv,10
1242805,BS,aliv,aliv,10
1242806,BS,aliv,aliv,10
1242807,BS,aliv,aliv,10
1242808,BS,aliv,aliv,10
1242809,BS,aliv,aliv,10
1242810,BS,aliv,aliv,10
1242812,BS,aliv,aliv,10
1242813,BS,aliv,aliv,10
1242814,BS,aliv,aliv,10
1242815,BS,aliv,aliv,10
1242816,BS,aliv,aliv,10
1242817,BS,aliv,aliv,10
1242818,BS,aliv,aliv,10
1242819,BS,aliv,aliv,10
124282,BS,aliv,aliv,10
1242830,BS,aliv,aliv,10
1242831,BS,aliv,aliv,10
1242832,BS,aliv,aliv,10
1242833,BS,aliv,aliv,10
1242834,BS,aliv,aliv,10
1242889,BS,aliv,aliv,10
1242899,BS,aliv,aliv,10
124623,BB,cable_wireless,Cable & Wireless,10
1246240,BB,cable_wireless,Cable & Wireless,10
1246241,BB,cable_wireless,Cable & Wireless,10
1246242,BB,cable_wireless,Cable & Wireless,10
1246243,BB,cable_wireless,Cable & Wireless,10
1246244,BB,cable_wireless,Cable & Wireless,10
1246245,BB,cable_wireless,Cable & Wireless,10
1246247,BB,cable_wireless,Cable & Wireless,10
1246248,BB,cable_wireless,Cable & Wireless,10
1246249,BB,cable_wireless,Cable & Wireless,10
1246250,BB,cable_wireless,Cable & Wireless,10
1246251,BB,cable_wireless,Cable & Wireless,10
1246252,BB,cable_wireless,Cable & Wireless,10
1246253,BB,cable_wireless,Cable & Wireless,10
1246254,BB,cable_wireless,Cable & Wireless,10
1246255,BB,cable_wireless,Cable & Wireless,10
1246256,BB,digicel,Digicel,10
1246257,BB,digicel,Digicel,10
1246258,BB,digicel,Digicel,10
1246259,BB,digicel,Digicel,10
124626,BB,digicel,Digicel,10
124628,BB,cable_wireless,Cable & Wireless,10
1246352,BB,cable_wireless,Cable & Wireless,10
1246353,BB,cable_wireless,Cable & Wireless,10
1246354,BB,cable_wireless,Cable & Wireless,10
1246355,BB,cable_wireless,Cable & Wireless,10
1246356,BB,cable_wireless,Cable & Wireless,10
1246357,BB,cable_wireless,Cable & Wireless,10
1246358,BB,cable_wireless,Cable & Wireless,10
1246359,BB,cable_wireless,Cable & Wireless,10
1246360,BB,cable_wireless,Cable & Wireless,10
1246361,BB,cable_wireless,Cable & Wireless,10
1246362,BB,cable_wireless,Cable & Wireless,10
1246363,BB,cable_wireless,Cable & Wireless,10
1246364,BB,cable_wireless,Cable & Wireless,10
1246365,BB,cable_wireless,Cable & Wireless,10
1246366,BB,cable_wireless,Cable & Wireless,10
1246446,BB,neptune,Neptune Communications,10
124645,BB,sunbeach_communications,Sunbeach Communications,10
12465211,BB,digicel,Digicel,10
12465214,BB,lime,LIME,10
