<mgsvp;
ORDERED
<

ACT     MSCBC2                    AD-288  TIME 20251018 1324  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-8617541450000            5          1
4-48601000297              6          2
4-33191226760011         195        161
4-213661009500           899        723
4-34642200026              10          5
4-14174000022            566        487
4-212661000772           113         89
4-204059968072             4          4
4-33695000399            290        187
4-4366401100              44         28
4-212699790097            55         41
4-33191224620624         591        460
4-447953795221            34         28
4-46705006207              6          6
4-33191316540124        2895       1629
4-33191224620625         675        534
4-14054759545              5          1
4-393205800010           162        116
4-33191237670035          83         59
4-33191237690039         532        392
4-331912237600175        137        101
4-33191491720335          14         10
4-212663990030           187        115
4-3319120120510            9          5
4-33191316540258          41         29
4-19703769822             27         17
4-447953700225             11          11
4-32495000620            107         94
4-34622993899            109         83
4-491700600312             8          8
4-331912237600173        142        108
4-33191443850019         112         84
4-46707990051             99         25
4-33660005100            424        281
4-33689002869            119        101
4-905329326000            42         32
4-33689002873             73         62
4-34609190447             46         32
4-491700900311             9          9
4-33689002877             49         42
4-331912237600174        132        100
4-491700600116             11          7
4-447953700201            21         15
4-32495000630             87         71
4-48881100010             44         16
4-33191225070198         450        356
4-33191407220043          24         17
4-33191346070658           5          1
4-33689002868            134        110
4-919894000048            14          6
4-33689302876             93         75
4-67679499110              6          6
4-331912348030038        151        112
4-3319149110201010           10          6
4-393358999737           105         67
4-33689008255            196        157
4-33689002863            104         82
4-44054729356              4          4
4-46708000984            458        399
4-417949983007008          8          4
4-8614755400000            5          5
4-33689002862             99         83
4-32495005650             44         17
4-33191393490277          17         11
4-491760003010            14          9
4-352621100057            62         34
4-883130000011000        634        231
4-19703769825             49         33
4-19703769823             25         13
4-33989002901             39         33
4-6619120120524            6          2
4-33191224660015          50         37
4-33191346560155          15          8
4-33191791720345          17         11
4-492060003022            20         16
4-491700600126           373        266
4-19703769838             14          4
4-919859001358             5          5
4-491700900115             9          5
4-33191491720158           9          5
4-908890000227             8          4
4-38267400069              4          4
4-41765900130            199        176
4-33689002902            130        101
4-13603399695             60         15
4-19703769834             15          4
4-19703769810            122         29
4-8645905320000            4          4
4-33689002861            121        105
4-3311214121720132           12          12
4-33689002904             100         75
4-32495000610            117        103
4-79219600076             16          9
4-284722800120             8          4
4-79467494434              4          4
4-491700600107             11          7
4-33689002903             52         47
4-447488200127            33         27
4-201089968078             8          1
4-33689008891             13          8
4-393519999399           437        363
4-4840390932               8          4
4-33191616540091          16         16
4-4121760003005             12          7
4-2211066600939             10          6
4-32495000640             102         89
4-919392784242             9          4
4-22222997007             71         47
4-882285000008000        265         32
4-96596909414             24         18
4-864320048020             4          0
4-4911000600148             10          4
4-447802002260            45         21
4-33689008881             19         13
4-19703769829             76         50
4-32475002533            162        134
7-35988000201              7          3
4-21650000097         835125     789528
4-447953700203            22         17
4-33689002905            141        112
4-24166228882             32         26
4-393358840738034         66         52
4-491700600122             11          5
4-32486000006            184        163
4-33689002878             62         51
4-79112009906              6          6
4-966505000000           106         93
4-491700600301            18         10
4-447953700209            14          9
4-4121760003020             12          8
4-436990071205            16         16
7-201059968069             7          2
4-6281107108              29         14
4-33609009909             34         20
4-447953700215            19         14
4-79467494445              4          4
4-331912507110012           11          11
4-46100100002105              10          10
4-3319120120470            8          4
4-905590000539             5          1
4-8643240940004            4          4
4-331911514420022         30         24
4-491700600121             6          2
7-777953700270             7          3
4-33191316540153           5          1
4-61411999020              6          2
4-905590000223             4          4
4-17057969230             89         67
4-393358840759819         31         22
4-33191221770046          54         38
