<mgsvp;
ORDERED
<

ACT     MSCBC2                    AD-288  TIME 250306 1324  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-8617241450000            2          1
4-48601000297              3          2
4-33191226760011         192        161
4-213661009500           896        723
4-34642200026              7          5
4-14174000022            563        487
4-212661000772           110         89
4-201059968072             1          1
4-33695000399            287        187
4-4366401100              41         28
4-212699790097            52         41
4-33191224620624         588        460
4-447953795221            31         28
4-46705003207              3          3
4-33191316540124        2892       1629
4-33191224620625         672        534
4-14054729242              2          1
4-393205800010           159        116
4-33191237670035          80         59
4-33191237690039         529        392
4-331912237600175        134        101
4-33191491720335          11         10
4-212663990030           184        115
4-3319120120510            6          5
4-33191316540258          38         29
4-19703769822             24         17
4-447953700225             8          8
4-32495000620            104         94
4-34622993899            106         83
4-491700600312             5          5
4-331912237600173        139        108
4-33191443850019         109         84
4-46707990051             96         25
4-33660005100            421        281
4-33689002869            116        101
4-905329326000            39         32
4-33689002870             70         62
4-34609190447             43         32
4-491700600311             6          6
4-33689002877             46         42
4-331912237600174        129        100
4-491700600116             8          7
4-447953700201            18         15
4-32495000630             84         71
4-48881100010             41         16
4-33191225070198         447        356
4-33191407220043          21         17
4-33191346070628           2          1
4-33689002868            131        110
4-919894000048            11          6
4-33689002876             90         75
4-37379499110              3          3
4-331912348030038        148        112
4-33191491720107           7          6
4-393358999737           102         67
4-33689008255            193        157
4-33689002863            101         82
4-14054729356              1          1
4-46708000984            455        399
4-417949983007008          5          4
4-8614755400000            2          2
4-33689002862             96         83
4-32495005650             41         17
4-33191393490277          14         11
4-491760003010            11          9
4-352621100057            59         34
4-883130000011000        631        231
4-19703769825             46         33
4-19703769823             22         13
4-33689002901             36         33
4-3319120120524            3          2
4-33191224660015          47         37
4-33191346560155          12          8
4-33191491720345          14         11
4-491760003022            17         16
4-491700600126           370        266
4-19703769838             11          4
4-919829001358             2          2
4-491700600115             6          5
4-33191491720158           6          5
4-905590000227             5          4
4-38267100069              1          1
4-41765900130            196        176
4-33689002902            127        101
4-13603399695             57         15
4-19703769834             12          4
4-19703769810            119         29
4-8615905320000            1          1
4-33689002861            118        105
4-33191491720132           9          9
4-33689002904             97         75
4-32495000610            114        103
4-79219600076             13          9
4-254722500120             5          4
4-79167494131              1          1
4-491700600107             8          7
4-33689002903             49         47
4-447488200127            30         27
4-201059968078             5          1
4-33689008891             10          8
4-393519999399           434        363
4-4540390932               5          4
4-33191316540091          13         13
4-491760003005             9          7
4-221766600939             7          6
4-32495000640             99         89
4-916362784242             6          4
4-22222997007             68         47
4-882285000008000        262         32
4-96596909414             21         18
4-861320018020             1          0
4-491700600148             7          4
4-447802002260            42         21
4-33689008881             16         13
4-19703769829             73         50
4-32475002533            159        134
4-35988000201              4          3
4-21650000097         835122     789528
4-447953700203            19         17
4-33689002905            138        112
4-24166228882             29         26
4-393358840738034         63         52
4-491700600122             8          5
4-32486000006            181        163
4-33689002878             59         51
4-79112009903              3          3
4-966505000000           103         93
4-491700600301            15         10
4-447953700209            11          9
4-491760003020             9          8
4-436990071205            13         13
4-201059968069             4          2
4-6281107108              26         14
4-33609009909             31         20
4-447953700215            16         14
4-79167494115              1          1
4-33191250780012           8          8
4-46707000275              7          7
4-3319120120470            5          4
4-905590000239             2          1
4-8613240940001            1          1
4-331911514420022         27         24
4-491700600121             3          2
4-447953700240             4          3
4-33191316540123           2          1
4-61411999020              3          2
4-905590000223             1          1
4-17057969230             86         67
4-393358840759819         28         22
4-33191221770046          51         38
4-21650000004             25         18
4-33689003033            849        707
4-33191485010106           9          6
4-33609009915             31         23
4-23599999952             32         26
4-13603399697             21          6
4-19703769807             23         14
4-14054729364              1          1
4-324750004055603         60         46
4-34609091004              3          3
4-8615184140000            1          0
4-33609009914             35         28
