country,operator,rate,routage,baring
Algeria,Ooredoo,10,Bilateral,
Algeria,Djezzy,0,Bilateral,
Algeria,Mobilis,90,Bilateral,
Canada,Bell Mobility,10,Bilateral,
Canada,Fido,0,Bilateral,
Canada,Rogers Wireless,80,Bilateral,
Canada,Sasktel,0,Bilateral,
Canada,Telus Mobility,10,Bilateral,
Italy,Vodafone,30,Comfone,
Italy,Iliad,65,Bilateral,
Italy,Wind,0,Bilateral,
Italy,TIM,5,Bilateral,
Libya,Libyana,100,Bilateral,
Libya,Madar,0,Bilateral,
France,Free,15,Bilateral,
France,Bouygues,0,,X
France,SFR,0,Bilateral,
France,Orange,85,Orange Hub,
United Arab Emirates,Etisalat,0,Bilateral,
United Arab Emirates,du,100,Bilateral,
Saudi Arabia,STC,10,Bilateral,
Saudi Arabia,Mobily,0,,X
Saudi Arabia,Zain,90,Bilateral,
Qatar,Ooredoo,10,Bilateral,
Qatar,Vodafone,90,Comfone,
Belgium,Proximus,10,Bilateral,
Belgium,Orange,90,Orange Hub,
Belgium,Base,0,Bilateral,
Morocco,Orange,85,Orange Hub,
Morocco,IAM,15,Bilateral,
Morocco,INWI,0,Bilateral,
