id,prefix,carrier_name,country_alpha2
1,1,,US
2,1340,,VI
3,1670,,MP
4,1671,,GU
5,1684,,AS
6,1787,,PR
7,1939,,PR
8,1,,CA
9,1242,,BS
10,1246,,BB
11,1264,,AI
12,1268,,AG
13,1284,,VG
14,1345,,KY
15,1441,,BM
16,1473,,GD
17,1649,,TC
18,1658,,JM
19,1876,,JM
20,1664,,MS
21,1721,,SX
22,1758,,LC
23,1767,,DM
24,1784,,VC
25,1809,,DO
26,1829,,DO
27,1849,,DO
28,1868,,TT
29,1869,,KN
30,20,,EG
31,211,,SS
32,212,,MA
33,213,,DZ
34,216,,TN
35,218,,LY
36,220,,GM
37,221,,SN
38,222,,MR
39,223,,ML
40,224,,GN
41,225,,CI
42,226,,BF
43,227,,NE
44,228,,TG
45,229,,BJ
46,230,,MU
47,231,,LR
48,232,,SL
49,233,,GH
50,234,,NG
51,235,,TD
52,236,,CF
53,237,,CM
54,238,,CV
55,239,,ST
56,240,,GQ
57,241,,GA
58,242,,CG
59,243,,CD
60,244,,AO
61,245,,GW
62,246,,IO
63,247,,AC
64,248,,SC
65,249,,SD
66,250,,RW
67,251,,ET
68,252,,SO
69,253,,DJ
70,254,,KE
71,255,,TZ
72,256,,UG
73,257,,BI
74,258,,MZ
75,260,,ZM
76,261,,MG
77,262,,RE
78,262,,YT
79,263,,ZW
80,264,,NA
81,265,,MW
82,266,,LS
83,267,,BW
84,268,,SZ
85,269,,KM
86,27,,ZA
87,290,,SH
88,290,,TA
89,291,,ER
90,297,,AW
91,298,,FO
92,299,,GL
93,30,,GR
94,31,,NL
95,32,,BE
96,33,,FR
97,34,,ES
98,350,,GI
99,351,,PT
100,352,,LU
101,353,,IE
102,354,,IS
103,355,,AL
104,356,,MT
105,357,,CY
106,358,,FI
107,358,,AX
108,359,,BG
109,36,,HU
110,370,,LT
111,371,,LV
112,372,,EE
113,373,,MD
114,374,,AM
115,375,,BY
116,376,,AD
117,377,,MC
118,378,,SM
119,379,,VA
120,380,,UA
121,381,,RS
122,382,,ME
123,383,,XK
124,385,,HR
125,386,,SI
126,387,,BA
127,389,,MK
128,39,,IT
129,39,,VA
130,40,,RO
131,41,,CH
132,420,,CZ
133,421,,SK
134,423,,LI
135,43,,AT
136,44,,GB
137,44,,GG
138,45,,DK
139,46,,SE
140,47,,SJ
142,48,,PL
143,49,,DE
144,500,,FK
145,500,,GS
146,501,,BZ
147,502,,GT
148,503,,SV
149,504,,HN
150,505,,NI
151,506,,CR
152,507,,PA
153,508,,PM
154,509,,HT
155,51,,PE
156,52,,MX
157,53,,CU
158,54,,AR
159,55,,BR
160,56,,CL
161,57,,CO
162,58,,VE
163,590,,GP
164,590,,BL
165,591,,BO
166,592,,GY
167,593,,EC
168,594,,GF
169,595,,PY
170,596,,MQ
171,597,,SR
172,598,,UY
173,60,,MY
174,61,,AU
175,61,,CX
176,62,,ID
177,63,,PH
178,64,,NZ
179,64,,PN
180,65,,SG
181,66,,TH
182,670,,TL
183,672,,NF
184,672,,AQ
185,673,,BN
186,674,,NR
187,675,,PG
188,676,,TO
189,677,,SB
190,678,,VU
191,679,,FJ
192,680,,PW
193,681,,WF
194,682,,CK
195,683,,NU
196,686,,KI
197,687,,NC
198,688,,TV
199,689,,PF
200,690,,TK
201,691,,FM
202,692,,MH
203,71,,RU
204,72,,RU
205,73,,RU
206,74,,RU
207,75,,RU
208,78,,RU
209,79,,RU
210,70,,KZ
211,76,,KZ
212,77,,KZ
213,81,,JP
214,82,,KR
215,84,,VN
216,850,,KP
217,852,,HK
218,853,,MO
219,855,,KH
220,856,,LA
221,86,,CN
222,880,,BD
223,886,,TW
224,90,,TR
225,90,,CT
226,91,,IN
227,92,,PK
228,93,,AF
229,94,,LK
230,95,,MM
231,960,,MV
232,961,,LB
233,962,,JO
234,963,,SY
235,964,,IQ
236,965,,KW
237,966,,SA
238,967,,YE
239,968,,OM
240,970,,PS
241,971,,AE
242,972,,IL
243,972,,PS
244,973,,BH
245,974,,QA
246,975,,BT
247,976,,MN
248,977,,NP
249,98,,IR
250,992,,TJ
251,993,,TM
252,994,,AZ
253,995,,GE
254,996,,KG
255,998,,UZ
