MCC,MNC,PLMN,Region,Country,ISO,Operator,Brand,PLMNCode,2G,GPRS/3G,LTE,NetworkId,NetworkName,Source
901.0,27.0,90127.0,Worldwide,Worldwide,XX,Monaco Telecom,OnMarine,AAMOM,YES,,,onmarine_worldwide,OnMarine,system
242.0,99.0,24299.0,Europe,Norway,NO,TampNet AS,TampNet AS,AAMT1,,,YES,tampnet_as_norway,TampNet AS,system
363.0,2.0,36302.0,North America and the Caribbean,Aruba,AW,Digicel Aruba,Digicel,ABWDC,YES,YES,,digicel_aruba,Digicel,system
412.0,40.0,41240.0,Asia and the Middle East,Afghanistan,AF,MTN Group Afghanistan,MTN,AFGAR,YES,YES,,mtn_afghanistan,MTN,system
412.0,1.0,41201.0,Asia and the Middle East,Afghanistan,AF,Afghan Wireless Communication Company,AWCC,AFGAW,YES,YES,YES,awcc_afghanistan,AWCC,system
412.0,50.0,41250.0,Asia and the Middle East,Afghanistan,AF,Etisalat Afghanistan,Etisalat,AFGEA,YES,YES,,etisalat_afghanistan,Etisalat,system
412.0,20.0,41220.0,Asia and the Middle East,Afghanistan,AF,Telecom Development Company Afghanistan Ltd.,Roshan,AFGTD,YES,YES,,roshan_afghanistan,Roshan,system
631.0,2.0,63102.0,Africa,Angola,AO,UNITEL S.a.r.l.,UNITEL,AGOUT,YES,YES,YES,unitel_angola,UNITEL,system
365.0,840.0,365840.0,North America and the Caribbean,Anguilla (UK),AI,Cable & Wireless,FLOW,AIACW,YES,YES,YES,flow_anguilla_(uk),FLOW,system
276.0,1.0,27601.0,Europe,Albania,AL,Telekom Albania,Telekom.al,ALBAM,YES,YES,YES,telekom.al_albania,Telekom.al,system
276.0,3.0,27603.0,Europe,Albania,AL,Albtelecom,Eagle Mobile,ALBEM,YES,YES,YES,eagle_mobile_albania,Eagle Mobile,system
276.0,4.0,27604.0,Europe,Albania,AL,Plus Communication,Plus Communication,ALBM4,YES,YES,,plus_communication_albania,Plus Communication,system
276.0,2.0,27602.0,Europe,Albania,AL,Vodafone Albania,Vodafone,ALBVF,YES,YES,YES,vodafone_albania,Vodafone,system
213.0,3.0,21303.0,Europe,Andorra,AD,Servei De Tele. DAndorra,Mobiland,ANDMA,YES,YES,YES,mobiland_andorra,Mobiland,system
362.0,69.0,36269.0,North America and the Caribbean,Former Netherlands Antilles,BQ/CW/SX,Curaçao Telecom N.V.,Digicel,ANTCT,YES,,,digicel_former_netherlands_antilles,Digicel,system
362.0,51.0,36251.0,North America and the Caribbean,Former Netherlands Antilles,BQ/CW/SX,Telcell N.V.,Telcell,ANTTC,YES,YES,YES,telcell_former_netherlands_antilles,Telcell,system
424.0,3.0,42403.0,Asia and the Middle East,United Arab Emirates,AE,Emirates Integrated Telecommunications Company,du,AREDU,YES,YES,YES,du_united_arab_emirates,du,system
424.0,2.0,42402.0,Asia and the Middle East,United Arab Emirates,AE,Emirates Telecom Corp,Etisalat,ARETC,YES,YES,YES,etisalat_united_arab_emirates,Etisalat,system
901.0,5.0,90105,,UAE,,,Thuraya,ARETH,YES,YES,0,thuraya_uae,Thuraya,system
722.0,310.0,722310.0,South and Central America,Argentina,AR,AMX Argentina S.A.,Claro,ARGCM,YES,,,claro_argentina,Claro,system
722.0,7.0,72207,,Argentina,,,Telefonica Moviles Argentina,ARGTM,YES,YES,Planned,telefonica_moviles_argentina_argentina,Telefonica Moviles Argentina,system
722.0,34.0,72234,,Argentina,,,Telecom Personal S.A,ARGTP,YES,YES,YES,telecom_personal_s.a_argentina,Telecom Personal S.A,system
283.0,1.0,28301.0,Europe,Armenia,AM,Veon Armenia CJSC,Beeline,ARM01,YES,YES,YES,beeline_armenia,Beeline,system
283.0,5.0,28305.0,Europe,Armenia,AM,K Telecom CJSC,VivaCell-MTS,ARM05,YES,YES,YES,vivacell-mts_armenia,VivaCell-MTS,system
283.0,10.0,28310.0,Europe,Armenia,AM,Ucom LLC,Ucom,ARMOR,YES,YES,YES,ucom_armenia,Ucom,system
344.0,920.0,344920.0,North America and the Caribbean,Antigua and Barbuda,AG,Cable & Wireless Caribbean Cellular (Antigua) Limited,FLOW,ATGCW,YES,YES,YES,flow_antigua_and_barbuda,FLOW,system
505.0,2.0,50502.0,Oceania,Australia,AU,Singtel Optus Proprietary Limited,Optus,AUSOP,,YES,YES,optus_australia,Optus,system
505.0,1.0,50501.0,Oceania,Australia,AU,Telstra Corporation Limited,Telstra,AUSTA,,YES,YES,telstra_australia,Telstra,system
505.0,3.0,50503.0,Oceania,Australia,AU,Vodafone Hutchison Australia Proprietary Limited,Vodafone,AUSVF,,YES,YES,vodafone_australia,Vodafone,system
232.0,5.0,23205.0,Europe,Austria,AT,Hutchison Drei Austria,3,AUTCA,YES,YES,YES,3_austria,3,system
232.0,3.0,23203.0,Europe,Austria,AT,T-Mobile Austria GmbH,Magenta,AUTMM,YES,YES,YES,magenta_austria,Magenta,system
232.0,1.0,23201.0,Europe,Austria,AT,A1 Telekom Austria,A1.net,AUTPT,YES,YES,YES,a1.net_austria,A1.net,system
400.0,1.0,40001.0,Asia and the Middle East,Azerbaijan,AZ,,Azercell,AZEAC,YES,YES,YES,azercell_azerbaijan,Azercell,system
400.0,4.0,40004.0,Asia and the Middle East,Azerbaijan,AZ,Azerfon,Nar Mobile,AZEAF,YES,YES,YES,nar_mobile_azerbaijan,Nar Mobile,system
400.0,2.0,40002.0,Asia and the Middle East,Azerbaijan,AZ,,Bakcell,AZEBC,YES,YES,YES,bakcell_azerbaijan,Bakcell,system
642.0,7.0,64207.0,Africa,Burundi,BI,LACELL SU,Smart Mobile,BDIL1,YES,YES,,smart_mobile_burundi,Smart Mobile,system
642.0,8.0,64208.0,Africa,Burundi,BI,Viettel Burundi,Lumitel,BDIVG,YES,YES,YES,lumitel_burundi,Lumitel,system
206.0,20.0,20620.0,Europe,Belgium,BE,Telenet,Base,BELKO,YES,YES,YES,base_belgium,Base,system
206.0,10.0,20610.0,Europe,Belgium,BE,Orange S.A.,Orange Belgium,BELMO,YES,YES,YES,orange_belgium_belgium,Orange Belgium,system
206.0,1.0,20601.0,Europe,Belgium,BE,Belgacom Mobile,Proximus,BELTB,YES,YES,YES,proximus_belgium,Proximus,system
206.0,5.0,20605,,Belgium,,,Sunrise Communications AG,BELTN,N.A,N.A,N.A,sunrise_communications_ag_belgium,Sunrise Communications AG,system
616.0,2.0,61602.0,Africa,Benin,BJ,Telecel Benin,Moov,BEN02,YES,YES,,moov_benin,Moov,system
616.0,7.0,61607,,Benin,,,SBIN Benin,BEN07,YES,YES,YES,sbin_benin_benin,SBIN Benin,system
