country,carrier_name,CC,NDC,prefix
Abkhazia,,7,940,7940
Abkhazia,,995,44,99544
Afghanistan,Etisalet,93,,93
Afghanistan,TDC afgh,93,20,9320
Afghanistan,Etisalet,93,50,9350
Afghanistan,AWCC,93,70,9370
Afghanistan,AWCC,93,71,9371
Afghanistan,Roshan,93,72,9372
Afghanistan,Etisalat,93,73,9373
Afghanistan,SALAAM,93,74,9374
Afghanistan,Afghan Telecom,93,75,9375
Afghanistan,MTN,93,76,9376
Afghanistan,MTN,93,77,9377
Afghanistan,Etisalat,93,78,9378
Afghanistan,Roshan,93,79,9379
Albania,ALBtelecom,355,,355
Albania,Telekom Alb,355,01,35501
Albania,ALBtelecom,355,03,35503
Albania,Plus Albania,355,04,35504
Albania,PLUS Communication,355,66,35566
Albania,Plus Albania,355,662,355662
Albania,Plus Albania,355,663,355663
Albania,Plus Albania,355,664,355664
Albania,Plus Albania,355,665,355665
Albania,Plus Albania,355,666,355666
Albania,Plus Albania,355,667,355667
Albania,Plus Albania,355,668,355668
Albania,Plus Albania,355,669,355669
Albania,ALBtelecom,355,67,35567
Albania,AMC,355,68,35568
Albania,Vodafone,355,69,35569
Algeria,Djezzy,213,,213
Algeria,Djezzy,213,02,21302
Algeria,Ooredoo,213,5,2135
Algeria,Mobilis,213,6,2136
Algeria,Ooredoo,213,7,2137
Algeria,Djezzy,213,70,21370
American Samoa,Bluesky,1,110,1110
American Samoa,,1,684,1684
Andorra,AndorraTelec,376,03,37603
Andorra,,376,3,3763
Andorra,AndorraTelec,376,5,3765
Andorra,AndorraTelec,376,6,3766
Angola,unitel,244,,244
Angola,unitel,244,02,24402
Angola,Africell,244,05,24405
Angola,MOVICEL - CDMA,244,91,24491
Angola,UNITEL - GSM,244,92,24492
Angola,UNITEL - GSM,244,93,24493
Angola,unitel,244,94,24494
Angola,Africell,244,95,24495
Anguilla,CWWI,1,,1
Anguilla,CWWI,1,26447,126447
Anguilla,,1,264772,1264772
Anguilla,CWWI,1,840,1840
Antigua And Barbuda,CWWI,1,,1
Antigua And Barbuda,,1,2687,12687
Antigua And Barbuda,CWWI,1,26876,126876
Antigua And Barbuda,CWWI,1,920,1920
AntillesNDL,Setel,599,3181,5993181
AntillesNDL,Setel,599,3184,5993184
AntillesNDL,Setel,599,3185,5993185
AntillesNDL,Setel,599,4165,5994165
AntillesNDL,Setel,599,4166,5994166
AntillesNDL,Setel,599,4167,5994167
AntillesNDL,Setel,599,553,599553
AntillesNDL,Setel,599,554,599554
AntillesNDL,Setel,599,580,599580
AntillesNDL,Setel,599,581,599581
AntillesNDL,Setel,599,584,599584
AntillesNDL,Setel,599,585,599585
AntillesNDL,Setel,599,586,599586
AntillesNDL,Setel,599,587,599587
AntillesNDL,Setel,599,588,599588
AntillesNDL,Setel,599,795,599795
AntillesNDL,Setel,599,796,599796
AntillesNDL,Setel,599,91,59991
AntillesNDL,Setel,599,951,599951
AntillesNDL,Setel,599,952,599952
AntillesNDL,Setel,599,9530,5999530
AntillesNDL,Setel,599,9531,5999531
AntillesNDL,Setel,599,954,599954
AntillesNDL,Setel,599,956,599956
Argentina,O2,54,,54
Argentina,O2,54,07,5407
Argentina,O2,54,11,5411
Argentina,TelePersoSA,54,112,54112
Argentina,TelePersoSA,54,113,54113
Argentina,TelePersoSA,54,114,54114
Argentina,TelePersoSA,54,115,54115
Argentina,TelePersoSA,54,116,54116
Argentina,O2,54,220,54220
Argentina,O2,54,2202,542202
Argentina,O2,54,221,54221
Argentina,TelePersoSA,54,222,54222
Argentina,O2,54,2221,542221
Argentina,O2,54,2223,542223
Argentina,O2,54,2224,542224
Argentina,O2,54,2225,542225
Argentina,O2,54,2226,542226
Argentina,O2,54,2227,542227
Argentina,O2,54,2229,542229
Argentina,O2,54,223,54223
Argentina,TelePersoSA,54,224,54224
Argentina,O2,54,2241,542241
Argentina,O2,54,2242,542242
Argentina,O2,54,2243,542243
Argentina,O2,54,2244,542244
Argentina,O2,54,2245,542245
Argentina,O2,54,2246,542246
Argentina,TelePersoSA,54,225,54225
Argentina,O2,54,2252,542252
Argentina,O2,54,2254,542254
Argentina,O2,54,2255,542255
Argentina,O2,54,2257,542257
Argentina,TelePersoSA,54,226,54226
Argentina,O2,54,2261,542261
Argentina,O2,54,2262,542262
Argentina,O2,54,2264,542264
Argentina,O2,54,2265,542265
Argentina,O2,54,2266,542266
Argentina,O2,54,2267,542267
Argentina,O2,54,2268,542268
Argentina,TelePersoSA,54,227,54227
Argentina,O2,54,2271,542271
Argentina,O2,54,2272,542272
Argentina,O2,54,2273,542273
Argentina,O2,54,2274,542274
Argentina,TelePersoSA,54,228,54228
Argentina,O2,54,2281,542281
Argentina,O2,54,2283,542283
Argentina,O2,54,2284,542284
Argentina,O2,54,2285,542285
Argentina,O2,54,2286,542286
Argentina,TelePersoSA,54,229,54229
Argentina,O2,54,2291,542291
Argentina,O2,54,2292,542292
Argentina,O2,54,2296,542296
Argentina,O2,54,2297,542297
Argentina,O2,54,230,54230
Argentina,O2,54,2302,542302
Argentina,TelePersoSA,54,231,54231
Argentina,O2,54,2314,542314
Argentina,O2,54,2316,542316
Argentina,O2,54,2317,542317
Argentina,TelePersoSA,54,232,54232
Argentina,O2,54,2320,542320
Argentina,O2,54,2323,542323
Argentina,O2,54,2324,542324
Argentina,O2,54,2325,542325
Argentina,O2,54,2326,542326
Argentina,TelePersoSA,54,233,54233
Argentina,O2,54,2331,542331
Argentina,O2,54,2333,542333
Argentina,O2,54,2334,542334
Argentina,O2,54,2335,542335
Argentina,O2,54,2336,542336
Argentina,O2,54,2337,542337
Argentina,O2,54,2338,542338
Argentina,TelePersoSA,54,234,54234
Argentina,O2,54,2342,542342
Argentina,O2,54,2343,542343
Argentina,O2,54,2344,542344
Argentina,O2,54,2345,542345
Argentina,O2,54,2346,542346
Argentina,TelePersoSA,54,235,54235
Argentina,O2,54,2352,542352
Argentina,O2,54,2353,542353
Argentina,O2,54,2354,542354
Argentina,O2,54,2355,542355
Argentina,O2,54,2356,542356
Argentina,O2,54,2357,542357
Argentina,O2,54,2358,542358
Argentina,O2,54,236,54236
Argentina,O2,54,237,54237
Argentina,TelePersoSA,54,239,54239
Argentina,O2,54,2392,542392
Argentina,O2,54,2393,542393
Argentina,O2,54,2394,542394
Argentina,O2,54,2395,542395
Argentina,O2,54,2396,542396
Argentina,TelePersoSA,54,247,54247
Argentina,O2,54,2473,542473
Argentina,O2,54,2474,542474
Argentina,O2,54,2475,542475
Argentina,O2,54,2477,542477
Argentina,O2,54,2478,542478
Argentina,O2,54,249,54249
Argentina,O2,54,260,54260
Argentina,O2,54,261,54261
Argentina,TelePersoSA,54,262,54262
Argentina,O2,54,2622,542622
Argentina,O2,54,2624,542624
Argentina,O2,54,2625,542625
Argentina,O2,54,2626,542626
Argentina,O2,54,263,54263
Argentina,O2,54,264,54264
Argentina,O2,54,2646,542646
Argentina,O2,54,2647,542647
Argentina,O2,54,2648,542648
Argentina,TelePersoSA,54,265,54265
Argentina,O2,54,2651,542651
Argentina,O2,54,2655,542655
Argentina,O2,54,2656,542656
Argentina,O2,54,2657,542657
Argentina,O2,54,2658,542658
Argentina,O2,54,266,54266
Argentina,O2,54,280,54280
Argentina,TelePersoSA,54,290,54290
Argentina,O2,54,2901,542901
Argentina,O2,54,2902,542902
Argentina,O2,54,2903,542903
Argentina,O2,54,291,54291
Argentina,TelePersoSA,54,292,54292
Argentina,O2,54,2920,542920
Argentina,O2,54,2921,542921
Argentina,O2,54,2922,542922
Argentina,O2,54,2923,542923
Argentina,O2,54,2924,542924
Argentina,O2,54,2925,542925
Argentina,O2,54,2926,542926
Argentina,O2,54,2927,542927
Argentina,O2,54,2928,542928
Argentina,O2,54,2929,542929
Argentina,TelePersoSA,54,293,54293
Argentina,O2,54,2931,542931
Argentina,O2,54,2932,542932
Argentina,O2,54,2933,542933
Argentina,O2,54,2934,542934
Argentina,O2,54,2935,542935
Argentina,O2,54,2936,542936
Argentina,O2,54,294,54294
Argentina,O2,54,2940,542940
Argentina,O2,54,2942,542942
Argentina,O2,54,2945,542945
Argentina,O2,54,2946,542946
Argentina,O2,54,2948,542948
Argentina,TelePersoSA,54,295,54295
Argentina,O2,54,2952,542952
Argentina,O2,54,2953,542953
Argentina,O2,54,2954,542954
Argentina,TelePersoSA,54,296,54296
Argentina,O2,54,2962,542962
Argentina,O2,54,2963,542963
Argentina,O2,54,2964,542964
Argentina,O2,54,2966,542966
Argentina,O2,54,297,54297
Argentina,O2,54,2972,542972
Argentina,O2,54,298,54298
Argentina,O2,54,2982,542982
Argentina,O2,54,2983,542983
Argentina,O2,54,299,54299
Argentina,TelePersoSA,54,332,54332
Argentina,O2,54,3327,543327
Argentina,O2,54,3329,543329
Argentina,O2,54,336,54336
Argentina,TelePersoSA,54,338,54338
Argentina,O2,54,3382,543382
Argentina,O2,54,3385,543385
Argentina,O2,54,3387,543387
Argentina,O2,54,3388,543388
