NetworkId,NetworkName,Rate,Routage,Source
onmarine_worldwide,OnMarine,,,system
tampnet_as_norway,TampNet AS,,,system
digicel_aruba,Digicel,,,system
mtn_afghanistan,MTN,,,system
awcc_afghanistan,AWCC,,,system
etisalat_afghanistan,Etisalat,,,system
roshan_afghanistan,Roshan,,,system
unitel_angola,UNITEL,,,system
flow_anguilla_(uk),FLOW,,,system
telekom.al_albania,Telekom.al,0+,Bilateral,system
eagle_mobile_albania,Eagle Mobile,0+,Bilateral,system
plus_communication_albania,Plus Communication,HLR BARRING,Bilateral,system
vodafone_albania,Vodafone,100,Orange Hub,system
mobiland_andorra,Mobiland,,,system
digicel_former_netherlands_antilles,Digicel,,,system
telcell_former_netherlands_antilles,Telcell,,,system
du_united_arab_emirates,du,100,Bilateral,system
etisalat_united_arab_emirates,Etisalat,0+,Bilateral,system
thuraya_uae,Thuraya,HLR BARRING,Bilateral,system
claro_argentina,Claro,,,system
telefonica_moviles_argentina_argentina,Telefonica Moviles Argentina,100,Bilateral,system
telecom_personal_s.a_argentina,Telecom Personal S.A,HLR BARRING,Comfone,system
beeline_armenia,Beeline,100,Bilateral,system
vivacell-mts_armenia,VivaCell-MTS,HLR BARRING,Bilateral,system
ucom_armenia,Ucom,HLR BARRING,Orange Hub,system
flow_antigua_and_barbuda,FLOW,,,system
optus_australia,Optus,0+,Bilateral,system
telstra_australia,Telstra,,,system
vodafone_australia,Vodafone,100,Bilateral,system
3_austria,3,90,Bilateral,system
magenta_austria,Magenta,0+,Bilateral,system
a1.net_austria,A1.net,10,Bilateral,system
azercell_azerbaijan,Azercell,,,system
nar_mobile_azerbaijan,Nar Mobile,,,system
bakcell_azerbaijan,Bakcell,,,system
smart_mobile_burundi,Smart Mobile,,,system
lumitel_burundi,Lumitel,,,system
base_belgium,Base,0+,Bilateral,system
orange_belgium_belgium,Orange Belgium,90,Bilateral,system
proximus_belgium,Proximus,10,Bilateral,system
sunrise_communications_ag_belgium,Sunrise Communications AG,0+,Bilateral,system
moov_benin,Moov,HLR BARRING,Orange Hub,system
sbin_benin_benin,SBIN Benin,10,Orange Hub,system
bell_benin_communications_(bbcom)_benin,Bell Benin Communications (BBCOM),HLR BARRING,Bilateral,system
spacetel-benin_benin,Spacetel-Benin,90,Orange Hub,system
orange_burkina_faso,Orange,100,Orange Hub,system
onatel_burkina_faso,Onatel,HLR BARRING,Comfone,system
robi_axiata_limited_bangladesh,Robi Axiata Limited,HLR BARRING,Comfone,system
banglalink_bangladesh,Banglalink,,,system
grameenphone_bangladesh,Grameenphone,100,Bilateral,system
a1_bulgaria,A1,90,Bilateral,system
telenor_bulgaria,Telenor,10,Bilateral,system
vivacom_(telemach)_bulgaria_bulgaria,Vivacom (Telemach) Bulgaria,HLR BARRING,Bilateral,system
batelco_bahrain,Batelco,,,system
batelco_bahrain,Batelco,,,system
zain_bh_bahrain,zain BH,10,Bilateral,system
viva_bahrain_(stc)_bahrain,Viva Bahrain (STC),90,Bilateral,system
btc_bahamas,BTC,100,Orange Hub,system
aliv_bahamas,Aliv,HLR BARRING,Comfone,system
ht-eronet_bosnia_and_herzegovina,HT-ERONET,HLR BARRING,Bilateral,system
m:tel_bih_bosnia_and_herzegovina,m:tel BiH,100,Comfone,system
bh_mobile_bosnia_and_herzegovina,BH Mobile,,,system
mts_belarus,MTS,HLR BARRING,Comfone,system
life_best_belarus_belarus,Life Best Belarus,HLR BARRING,Bilateral,system
a1_belarus,A1,100,Bilateral,system
digicell_belize,DigiCell,,,system
smart_belize,SMART,,,system
cellular_@sea_worldwide,Cellular @Sea,0,Comfone,system
viva_bolivia,Viva,,,system
tigo_bolivia,Tigo,,,system
brasil_telecom_gsm_brazil,Brasil Telecom GSM,hLR BARRING,Bilateral,system
algar_telecom_brazil,Algar Telecom,,,system
claro_brazil,Claro,,,system
tim_brazil,TIM,20,Bilateral,system
tim_brazil,TIM,20,Bilateral,system
tim_brazil,TIM,20,Bilateral,system
vivo_brazil,Vivo,80,Bilateral,system
oi_brazil,Oi,HLR BARRING,Bilateral,system
vivo_brazil,Vivo,80,Bilateral,system
vivo_brazil,Vivo,80,Bilateral,system
vivo_brazil,Vivo,80,Bilateral,system
flow_barbados,FLOW,,,system
pcsb_brunei,PCSB,,,system
dst_brunei,DST,,,system
bemobile_botswana,beMobile,HLR BARRING,Comfone,system
mascom_botswana,Mascom,HLR BARRING,Comfone,system
orange_botswana_botswana,Orange Botswana,100,Orange Hub,system
telecel_centrafrique__centrafrique,Telecel Centrafrique ,HLR BARRING,,system
orange_central_african_republic,Orange,100,Orange Hub,system
bell_mobility_canada,Bell Mobility,10,Bilateral,system
rogers_wireless_canada,Rogers Wireless,80,Bilateral,system
sasktel_canada,SaskTel,0,Orange Hub,system
"telus_mobility,_koodo_mobile,_public_mobile_canada","Telus Mobility, Koodo Mobile, Public Mobile",10,Bilateral,system
videotron_canada,Videotron,,,system
