Country,Operator,Ownership,MCCMNC,2G,GPRS/3G,4G,Notes,OperatorId
Algeria,Mobilis,Algérie Télécom,,X,X,X,,algeria_mobilis
Algeria,Djezzy,State-owned[2],,X,X,X,,algeria_djezzy
Algeria,Ooredoo,Ooredoo (74.4%),,X,X,X,formerly Nedjma,algeria_ooredoo
Angola,Unitel,Sonangol (50%)[5] Government of Angola (50%)[5],,X,X,X,,angola_unitel
Angola,Movicel,"Government (Angola Telecom) (18%), Correios Telegrafos de Angola (2%),  Porturil (40%), Modus Comicare (19%), Ipang (10%), Lambda (6%)",,X,X,X,,angola_movicel
Angola,Africell,Africell Group,,,,,,angola_africell
Bahrain,Batelco,Bahrain Telecommunications Company,,X,X,X,,bahrain_batelco
Bahrain,Zain,Zain Group (56.25%),,X,X,X,formerly MTC-Vodafone,bahrain_zain
Bahrain,stc,STC,,X,X,X,,bahrain_stc
Benin,MTN,MTN (75%),,X,X,X,,benin_mtn
Benin,Moov,Etisalat,,X,X,X,,benin_moov
Benin,Glo,Globacom,,X,,,,benin_glo
Benin,Libercom,Benin Telecom,,X,,,,benin_libercom
Benin,BBcom,Bell Benin Communications,,X,,,,benin_bbcom
Botswana,Mascom,"Mascom, MTN (53%)",,X,X,X,,botswana_mascom
Botswana,Orange,"Orange S.A. (69%), Mosokelatsebeng Cellular (local investors, 26%), local individuals (5%)",,X,X,X,,botswana_orange
Botswana,btc,BTC Botswana Telecommunications Corporation,,X,X,,,botswana_btc
Burkina Faso,Orange,Orange[17],,X,X,,,burkina faso_orange
Burkina Faso,Telmob,Maroc Telecom (51%),,X,X,,Onatel,burkina faso_telmob
Burkina Faso,Telecel Faso,Planor Afrique,,X,,,,burkina faso_telecel_faso
Burundi,Lumitel,Viettel Group (Vietnam),,X,X,X,Viettel Burundi S.A.,burundi_lumitel
Burundi,Econet Leo,Econet Wireless (purchased Leo from Vimpelcom),,X,X,X,,burundi_econet_leo
Burundi,ONAMOB,Onatel Burundi (state owned),,X,,,,burundi_onamob
Burundi,Smart Mobile,Smart Telecom,,X,X,,formerly Lacell,burundi_smart_mobile
Cameroon,MTN,MTN Group (70%),,X,,X,,cameroon_mtn
Cameroon,Orange,Orange S.A.,,X,,X,,cameroon_orange
Cameroon,Nexttel,"Viettel Global, Bestinver Cameroon S.A.R.L",,X,X,,,cameroon_nexttel
Cameroon,Camtel,Camtel (government),,X,,,,cameroon_camtel
Cameroon,YooMee,YooMee,,,,,,cameroon_yoomee
Cape Verde,CV Móvel,Portugal Telecom (40%),,X,X,,,cape verde_cv_móvel
Cape Verde,T-MAIS,T-Mais,,X,,,,cape verde_t-mais
Central African Republic,telecel,Orascom Telecom,,X,,,,central african republic_telecel
Central African Republic,Orange,Orange S.A.,,X,X,,,central african republic_orange
Central African Republic,azur,Bintel,,X,,,,central african republic_azur
Central African Republic,Moov Africa,Maroc Telecom,,X,,,,central african republic_moov_africa
Chad,Moov,Maroc Telecom,,X,X,X,,chad_moov
Chad,Airtel,Bharti Airtel,,X,X,X,,chad_airtel
Comoros,HURI,government (Societe Nationale des Telecommunications),,X,X,X,,comoros_huri
Comoros,Telma,Telecom Madagascar,,X,,X,,comoros_telma
Congo,MTN,MTN,,X,X,X,,congo_mtn
Congo,Airtel,Bharti Airtel (90%),,X,X,X,,congo_airtel
Congo,Azur,Bintel,,X,,,,congo_azur
Democratic Republic of the Congo,Vodacom,"Vodacom (51%), Congolese Wireless Network (49%)",,X,X,,,democratic republic of the congo_vodacom
Democratic Republic of the Congo,Orange,Orange S.A.,,X,X,,,democratic republic of the congo_orange
Democratic Republic of the Congo,Africell,Africell Holding[39],,X,X,,,democratic republic of the congo_africell
Democratic Republic of the Congo,Airtel,Bharti Airtel (98.5%),,X,X,,,democratic republic of the congo_airtel
Democratic Republic of the Congo,Supercell,[41],,X,,,,democratic republic of the congo_supercell
Democratic Republic of the Congo,SemaTel,Hits Telecom[42] (60%),,X,,,,democratic republic of the congo_sematel
Democratic Republic of the Congo,U-Com,Global Vision Telecom (Telecel International)[43],,,,,,democratic republic of the congo_u-com
Democratic Republic of the Congo,Smile,"Smile Communications (Al-Nahla Technology, Atheeb Trading Company, Capitalworks, Verene) [45]",,,,X,,democratic republic of the congo_smile
Djibouti,Evatis,Djibouti Telecom (government),,X,X,,,djibouti_evatis
Egypt,Vodafone Egypt,"Vodafone Group plc (55%), Telecom Egypt (45%)",,X,X,X,,egypt_vodafone_egypt
Egypt,Orange,"Orange S.A. (99.39%), free float (0.61%)",,X,X,X,formerly Mobinil,egypt_orange
Egypt,Etisalat,"Etisalat (76%), Egypt Post (20%), Other Investors (4%)",,X,X,X,,egypt_etisalat
Egypt,We,"Egyptian government (80%), free float (20%)",,X,X,X,by Telecom Egypt,egypt_we
Equatorial Guinea,Orange,"Orange S.A. (40%), Equatorial Guinea state (60%)",,X,,,,equatorial guinea_orange
Equatorial Guinea,Muni,Green-com S.A. (Hits Africa),,X,X,,,equatorial guinea_muni
Equatorial Guinea,Gecomsa,"Equatorial Guinea state (51%), China state (49%)",,,,,,equatorial guinea_gecomsa
Eritrea,Eritel,Eritrea Telecommunications Services Corporation,,X,,,,eritrea_eritel
Eswatini,MTN,MTN Group (30%),,X,X,X,,eswatini_mtn
Eswatini,Eswatini Mobile,,,,,X,,eswatini_eswatini_mobile
Ethiopia,Ethiotelecom,Ethiopian Telecommunications Corporation,,X,X,X,,ethiopia_ethiotelecom
Ethiopia,Safaricom Telecommunications Ethiopia,Safaricom (55.7%)|Sumitomo Corporation (27.20%)|British International Investment (10.9%)|Vodacom (6.20%),,,,,,ethiopia_safaricom_telecommunications_ethiopia
Gabon,Airtel,Bharti Airtel (90%),,X,X,X,"formerly Celtel, Zain",gabon_airtel
Gabon,Moov Africa Gabon Telecom,"Maroc Telecom (51%), Gabonese government (49%)",,X,,,,gabon_moov_africa_gabon_telecom
Gambia,Africell,Africell Gambia LTD,,X,X,X,,gambia_africell
Gambia,Comium,Comium Group,,X,,,,gambia_comium
Gambia,Gamcel,Gambia Telecommunications Cellular Company Ltd,,X,,,,gambia_gamcel
Gambia,Qcell,Qcell,,X,X,,,gambia_qcell
Ghana,MTN,MTN (97.7%),,X,X,X,,ghana_mtn
Ghana,Vodafone Ghana,Telecel Group (70%) Government of Ghana (30%),,X,X,X,,ghana_vodafone_ghana
Ghana,AirtelTigo,Government of Ghana,,,,,,ghana_airteltigo
Ghana,Glo,Globacom,,X,X,,,ghana_glo
Guinea,Orange,Orange S.A. (52.2%),,X,,,,guinea_orange
Guinea,MTN,MTN (75%),,X,X,,formerly Areeba,guinea_mtn
Guinea,Cellcom Guinée,Cellcom Telecommunications Ltd[61],,X,X,,,guinea_cellcom_guinée
Guinea,Intercel,Telecel Guinee SARL,,X,,,,guinea_intercel
Guinea,Sotelgui,"Telekom Malaysia, government",,X,,,,guinea_sotelgui
Guinea-Bissau,MTN,MTN Group,,X,X,X,,guinea-bissau_mtn
Guinea-Bissau,Orange,Orange S.A. (52.2%),,X,,X,,guinea-bissau_orange
Guinea-Bissau,Guinetel,Guinea Telecom,,X,,,,guinea-bissau_guinetel
Iran,Hamrahe Aval,Telecommunication Company of Iran,,X,,X,,iran_hamrahe_aval
Iran,Irancell,Iran Electronic Development Company (51%) MTN Group (49%),,X,,X,,iran_irancell
Iran,RighTel,Social Security Investment Company,,,,X,,iran_rightel
Iraq,Zain,Zain Group (71.67%),,X,,X,,iraq_zain
Iraq,Asia Cell,Ooredoo (30%),,X,,,,iraq_asia_cell
Iraq,Korek,Korek Telecom Ltd.,,X,,,,iraq_korek
Iraq,Omnnea,Omnnea,,,,,,iraq_omnnea
Iraq,Itisaluna,Itisaluna,,X,,,,iraq_itisaluna
Israel,Cellcom,"DIC (41.77%), Public (58.23%)",,X,X,X,,israel_cellcom
Israel,Partner,"S.B. Israel Telecom (30.4%), exclusive Israeli shareholders (5%), Public (64.6%)",,X,X,X,,israel_partner
Israel,Pelephone,Bezeq,,,X,X,,israel_pelephone
Israel,Hot Mobile,HOT,,,X,X,,israel_hot_mobile
Israel,Golan Telecom,ELCO Group,,X,X,X,,israel_golan_telecom
Israel,XFONE,Marathon Telecom Ltd,,,,X,,israel_xfone
Israel,Rami Levy,Rami Levy Hashikma Marketing,,,X,X,using Pelephone,israel_rami_levy
Israel,HomeCellular,,,X,X,X,using Cellcom,israel_homecellular
Israel,019 Mobile,,,X,X,X,using Partner,israel_019_mobile
Israel,Cellact,Cellact Communication,,,X,X,using Pelephone,israel_cellact
Ivory Coast,Orange,"Orange S.A. (85%), Comafrique (15%)",,X,X,X,,ivory coast_orange
