Country,Operator,Ownership,MCCMNC,2G,GPRS/3G,4G,Notes,OperatorId
Anguilla,Digicel,Digicel,,,X,X,,anguilla_digicel
Anguilla,FLOW,,,,X,X,,anguilla_flow
Antigua and Barbuda,Digicel,Digicel,,X,X,X,,antigua and barbuda_digicel
Antigua and Barbuda,FLOW,Liberty Latin America[2],,X,X,X,,antigua and barbuda_flow
Antigua and Barbuda,APUA,Antigua Public Utilities Authority,,,,X,inet,antigua and barbuda_apua
Argentina,Claro,América Móvil (100%)[5],,X,X,X,,argentina_claro
Argentina,Movistar,Telefónica (100%)[6],,X,X,X,,argentina_movistar
Argentina,Personal,Telecom Argentina,,X,X,X,,argentina_personal
Argentina,Tuenti[8],Telefónica (100%)[10],,,,,using Movistar network,argentina_tuenti[8]
Argentina,Nuestro[11],FECOSUR[12],,,,,using Personal network,argentina_nuestro[11]
Aruba,Digicel,Digicel,,X,X,,,aruba_digicel
Aruba,SetarNV,Setar N.V.,,X,X,X,,aruba_setarnv
Bahamas,BTC,"Liberty Latin America[2] (49% of ownership, 51% of voting rights),[14]",,X,X,X,,bahamas_btc
Bahamas,Aliv,Cable Bahamas Government of the Bahamas,,,X,X,,bahamas_aliv
Barbados,FLOW,Liberty Latin America[2] (81%)[14],,X,X,X,,barbados_flow
Barbados,Digicel,Digicel (75)%[19],,X,X,X,,barbados_digicel
Belize,Digi[20],Belize Telemedia Limited,,X,X,X,,belize_digi[20]
Belize,Smart[22],Speednet,,,X,X,,belize_smart[22]
Bermuda,One,Bermuda Digital Communications Ltd,,X,X,X,,bermuda_one
Bermuda,Digicel,Digicel,,X,X,X,,bermuda_digicel
Bolivia,Entel,"Ministry of Public Works, Services and Housing (97.4671%) and 1200 other shareholders (2.5329%)[27]",,X,X,X,,bolivia_entel
Bolivia,Tigo [es],Millicom (100%)[29](Atlas Investissement (Iliad S.A.) 40.4%)[30],,X,X,X,,bolivia_tigo [es]
Bolivia,Viva,Trilogy International Partners (71.5%) and Cooperativa de Telecomunicaciones Cochabamba R.L. [es] (28.5%),,X,X,,,bolivia_viva
Bonaire,Digicel,Digicel,,X,X,X,formerly TELBO[32],bonaire_digicel
Bonaire,FLOW,Liberty Latin America (100%)[33][34],,X,X,X,,bonaire_flow
Brazil,Vivo,Telefónica (75.3%),,X,X,X,,brazil_vivo
Brazil,Claro,América Móvil,,X,X,X,,brazil_claro
Brazil,TIM,Telecom Italia (67%),,X,X,X,,brazil_tim
Brazil,"Algar Telecom • Only in some areas of GO, MG, MS and SP states",Grupo Algar,,X,X,X,,"brazil_algar_telecom_•_only_in_some_areas_of_go,_mg,_ms_and_sp_states"
Brazil,Surf • Only in city of São Paulo • Operates nationally as MVNE using TIM networks,Surf Telecom S.A.,,,,X,,brazil_surf_•_only_in_city_of_são_paulo_•_operates_nationally_as_mvne_using_tim_networks
British Virgin Islands,CCT[42],CCT Global Communications,,X,X,X,,british virgin islands_cct[42]
British Virgin Islands,FLOW,Liberty Latin America[2],,X,X,X,,british virgin islands_flow
British Virgin Islands,Digicel,Digicel (85%)[19],,X,X,X,,british virgin islands_digicel
Canada,Rogers Includes Fido and Chatr,Rogers Communications,,X,X,X,,canada_rogers_includes_fido_and_chatr
