Country,Operator,Ownership,MCCMNC,2G,GPRS/3G,4G,Notes,OperatorId
Afghanistan,MTN,MTN,,X,X,,,afghanistan_mtn
Afghanistan,Roshan,Aga Khan Fund for Economic Development (AKFED),,X,X,,,afghanistan_roshan
Afghanistan,Etisalat Afghanistan,Emirates Telecommunications Corporation,,X,X,X,,afghanistan_etisalat_afghanistan
Afghanistan,Afghan Wireless,Telephone Systems International,,X,X,X,,afghanistan_afghan_wireless
Afghanistan,Salaam,,,X,X,,,afghanistan_salaam
American Samoa,Blue Sky Communications,Amper SpA,,X,X,X,,american samoa_blue_sky_communications
American Samoa,American Samoa Telecommunications Authority,Government of American Samoa,,,X,X,ASTCA,american samoa_american_samoa_telecommunications_authority
Australia,Telstra,Telstra,,,,,,australia_telstra
Australia,Optus,Singtel,,,,,,australia_optus
Australia,Vodafone AU,TPG Telecom,,,,,,australia_vodafone_au
Bangladesh,Grameenphone,Telenor (55.8%)Grameen Telecom (34.2%)General Public & other Institutions (10%),,X,,X,,bangladesh_grameenphone
Bangladesh,Robi,Axiata Group Berhad (61.82%)Bharti Airtel (28.18%)General public (10%),,X,,X,,bangladesh_robi
Bangladesh,Banglalink,veon,,X,,X,,bangladesh_banglalink
Bangladesh,Teletalk,State-owned,,X,X,X,,bangladesh_teletalk
Bangladesh,Citycell,,,,,,,bangladesh_citycell
Bhutan,B-Mobile,Bhutan Telecom Limited (BTL),,X,X,X,,bhutan_b-mobile
Bhutan,TashiCell,Tashi Group,,X,X,X,,bhutan_tashicell
Bougainville,PNG dataco,"PNG DataCo Limited is a state owned entity, created in 2014 to provide wholesale services to the Information and Communication Industry, mandated to build, own and operate the National Transmission Network (NTN).",,X,X,X,,bougainville_png_dataco
Brunei,Datastream Technology Sdn Bhd,Datastream Digital,,X,X,X,DST,brunei_datastream_technology_sdn_bhd
Brunei,Progresif Cellular Sdn Bhd,Darussalam Assets Sdn Bhd,,,X,,formerly B-mobile,brunei_progresif_cellular_sdn_bhd
Cambodia,Metfone,Viettel Cambodia,,X,X,X,,cambodia_metfone
Cambodia,Smart,Axiata Group Berhad,,X,X,X,,cambodia_smart
Cambodia,Cellcard,The Royal Group[16],,X,X,X,,cambodia_cellcard
China,China Mobile,Government of China,,X,,X,,china_china_mobile
China,China Telecom,Government of China,,,,X,,china_china_telecom
China,China Unicom,Government of China,,,X,X,,china_china_unicom
China,China Broadnet,Government of China,,,,X,,china_china_broadnet
Cook Islands,Vodafone,Teleraro Limited (60%)[22],,X,X,X,formerly Bluesky,cook islands_vodafone
Fiji,Vodafone,"Amalgamated Telecom Holdings, 72.6% owned by the Fiji National Provident Fund[25] (51%) Fiji National Provident Fund (49%)[26]",,X,X,X,,fiji_vodafone
Fiji,Digicel,Digicel,,X,X,X,,fiji_digicel
French Polynesia,VINI,ONATi,,,X,X,,french polynesia_vini
French Polynesia,Vodafone,Pacific Mobile Telecom,,,,X,,french polynesia_vodafone
French Polynesia,VITI,,,,,X,,french polynesia_viti
Guam,IT&E and Iconnect,PTI Pacifica Inc.,,,X,X,,guam_it&e_and_iconnect
Guam,Docomo Pacific,NTT Docomo,,X,X,X,,guam_docomo_pacific
Guam,GTA,TeleGuam Holdings LLC,,X,X,X,,guam_gta
Hong Kong,CMHK,China Mobile,,X,X,X,,hong kong_cmhk
Hong Kong,csl,Hong Kong Telecom,,X,X,X,,hong kong_csl
Hong Kong,3,Hutchison Telecom,,,X,X,,hong kong_3
Hong Kong,SmarTone,Sun Hung Kai Properties,,,X,X,,hong kong_smartone
India,Jio,Jio Platforms,,,,X,,india_jio
India,Airtel,Bharti Airtel,,X,,X,,india_airtel
India,Vi,Government Of India (33.14%) Vodafone Group Plc (32.30%) Aditya Birla Group(18.10%) Private Equity(15.97%) ATC telecom infrastructure (3.18%),,X,,X,,india_vi
India,BSNL,Government of India,,X,,X,,india_bsnl
India,MTNL,Government of India Subsidiary of Bharat Sanchar Nigam Limited,,X,X,,"Areas: Mumbai, Delhi",india_mtnl
Indonesia,Telkomsel,Telkom Indonesia (69.9%) Singtel (30.1%)[54],,X,,X,Include previous TelkomFlexi network,indonesia_telkomsel
Indonesia,Indosat Ooredoo Hutchison,Ooredoo Hutchison Asia (65%) Government of Indonesia (9.6%),,X,,X,"Include previous Satelindo, Indosat-M3, 3 and StarOne network",indonesia_indosat_ooredoo_hutchison
Indonesia,XL Axiata,Axiata Group Berhad (66.25%),,X,,X,,indonesia_xl_axiata
Indonesia,Smartfren,Sinar Mas[58],,,,X,Include previous Esia and Mobile-8 network,indonesia_smartfren
Japan,NTT Docomo,NTT,,,,X,,japan_ntt_docomo
Japan,au,KDDI,,,,X,,japan_au
Japan,SoftBank Corp. & Ymobile,SoftBank Group (99.99%)[61],,,,X,,japan_softbank_corp._&_ymobile
Japan,Rakuten Mobile[62],Rakuten Jio Platforms,,,,X,,japan_rakuten_mobile[62]
