Country,Operator,Ownership,MCCMNC,2G,GPRS/3G,4G,Notes,OperatorId
Albania,One Albania,4iG[4][5],27601 27603,X,X,X, | • Includes the former ALBtelecom Mobile network.[3],albania_one_albania
Albania,Vodafone Albania,Vodafone Group plc (99.9%),27602,X,X,X,,albania_vodafone_albania
Andorra,Andorra Telecom,Government of Andorra[8],21303,,X,X,formerly Servei de Telecomunicacions d'Andorra,andorra_andorra_telecom
Armenia,Viva Armenia,Viva Armenia Fedilco Group Limited (Zhe Zhang (75%) and Konstantin Sokolov (25%)) (80%) and Government of Armenia (20%),28305,X,X,X,,armenia_viva_armenia
Armenia,Team,Telecom Armenia CJSC,28301,X,X,X,,armenia_team
Armenia,Ucom,Ucom,28310,X,X,X,,armenia_ucom
Austria,A1,"A1 Group (América Móvil (60.6%), ÖBAG (28.4%), institutional and others (7.6%), retail (3.4%)).",23201,X,X,X,,austria_a1
Austria,Magenta Telekom,Deutsche Telekom AG,23203,X,X,X,"formerly T-Mobile, max.mobil",austria_magenta_telekom
Austria,Drei,CK Hutchison Holdings,23205,X,X,X, | • Includes the previous Orange network.,austria_drei
Azerbaijan,Azercell,AzInTelecom (state-owned company),40001,X,X,X,,azerbaijan_azercell
Azerbaijan,Bakcell,Neqsol Holding,40002,X,X,X,,azerbaijan_bakcell
Azerbaijan,Nar,Azerfon LLC,40004,X,X,X,,azerbaijan_nar
Azerbaijan,Nakhtel,Nakhtel LLC,40006,X,X,X,operating in Nakhchivan Autonomous Republic,azerbaijan_nakhtel
Belarus,MTS,Beltelecom (51%)  MTS (49%),25702,X,X,X,,belarus_mts
Belarus,A1,A1 Group,25701,X,X,X,formerly velcom,belarus_a1
Belarus,Life,Turkcell,25704,X,X,X,,belarus_life
Belgium,Proximus,"Proximus Group N.V./S.A.(Government of Belgium 53.3%, NJJ 6.61%[21])",20601,X,X,X,formerly Belgacom,belgium_proximus
Belgium,Orange,"Orange S.A. (76.97%), others (23.03%)",20610,X,X,X,"formerly Mobistar, OBE",belgium_orange
Belgium,Base/Telenet,Telenet Group N.V./S.A. (Liberty Global 100%),20620,X,X,X,,belgium_base/telenet
Belgium,DIGI,"51% CityMesh, (subsidiary of Cegeka Groep N.V.)  49% Digi Communications N.V.",20612,,,X,,belgium_digi
Bosnia and Herzegovina,BH Mobile,"Federation of Bosnia and Herzegovina (90%), free float (10%)",21890,X,X,X,formerly GSM-BIH,bosnia and herzegovina_bh_mobile
Bosnia and Herzegovina,m:tel,Telekom Srbija,21805,X,X,X,formerly MOBI'S,bosnia and herzegovina_m:tel
Bosnia and Herzegovina,HT ERONET,"Federation of Bosnia and Herzegovina (50.10%), Hrvatski Telekom (39.10%), Hrvatska pošta (5.23%), free float (5.27%)",21803,X,X,X,formerly HTmobile,bosnia and herzegovina_ht_eronet
Bosnia and Herzegovina,haloo,"Federation of Bosnia and Herzegovina (50.10%), Hrvatski Telekom (39.10%, Hrvatska pošta (5.23%), free float (5.27%)",21803,X,X,X,MVNO of ERONET,bosnia and herzegovina_haloo
Bulgaria,A1,A1 Group,28401,X,X,X,"formerly Mtel, Mobiltel",bulgaria_a1
Bulgaria,Vivacom,United Group,28403,X,X,X,formerly Vivatel,bulgaria_vivacom
Bulgaria,Yettel,e& PPF Telecom Group,28405,X,X,X,"formerly Telenor, Globul",bulgaria_yettel
Croatia,Hrvatski Telekom,Deutsche Telekom AG (51.7%),21901,X,,X,"formerly T-Mobile, HTmobile, HT CRONET",croatia_hrvatski_telekom
Croatia,A1,A1 Group,21910,X,X,X,formerly vip,croatia_a1
Croatia,Telemach,United Group,21902,X,X,X,formerly Tele2,croatia_telemach
Cyprus,Cytamobile-Vodafone,Cyta (Government of Cyprus 100%),28001,X,X,X,,cyprus_cytamobile-vodafone
Cyprus,Epic,Monaco Telecom SAM,28010,X,X,X,"formerly MTN, Areeba",cyprus_epic
Cyprus,PrimeTel,PrimeTel PLC (Signal Capital Partners 100%),28020,,X,X,formerly as MVNO on Epic,cyprus_primetel
Cyprus,Cablenet,Cablenet Communications Systems PLC (GO Malta 63.4%),28022,,,X,"formerly Lemontel, as MVNO on Cyta",cyprus_cablenet
Cyprus,Kuzey Kıbrıs Turkcell,Turkcell A.Ş.,28601,X,X,X,,cyprus_kuzey_kıbrıs_turkcell
Cyprus,Telsim Vodafone,Vodafone Turkey A.Ş.,28602,X,X,X,,cyprus_telsim_vodafone
Czech Republic,T-Mobile,Deutsche Telekom AG,23001,X,,X,formerly Paegas,czech republic_t-mobile
Czech Republic,O2,PPF N.V.,23002,X,,X,"formerly Eurotel, Český Telecom",czech republic_o2
Czech Republic,Vodafone,Vodafone Group plc,23003,X,,X,formerly Oskar,czech republic_vodafone
Denmark,TDC,"Macquarie Group and Danish pension funds (PFA, PKA, ATP)",23801,X,X,X,,denmark_tdc
Denmark,Telenor,Telenor,23802,X,X,X,formerly Sonofon,denmark_telenor
Denmark,3,"CK Hutchison Holdings (60%), Investor AB (40%)",23806,X,X,X,,denmark_3
Denmark,Telia,Norlys[50],23820,X,,X,rebranding as Norlys Mobil[49],denmark_telia
Estonia,Telia,Telia Company,24801,X,X,X,formerly EMT,estonia_telia
Estonia,Elisa,Elisa,24802,X,,X,formerly Radiolinja,estonia_elisa
Estonia,Tele2,Tele2,24803,X,X,X,formerly Q-GSM,estonia_tele2
Faroe Islands,Føroya Tele,Government of Faroe Islands,28801,X,X,X,,faroe islands_føroya_tele
