Country,Operator,Ownership,MCCMNC,2G,GPRS/3G,4G,Notes,OperatorId
Afghanistan,Afghan Wireless,Telephone Systems International,,X,X,X,,afghanistan_afghan_wireless
Afghanistan,Etisalat Afghanistan,Emirates Telecommunications Corporation,,X,X,X,,afghanistan_etisalat_afghanistan
Afghanistan,MTN,MTN,,X,X,,,afghanistan_mtn
Afghanistan,Roshan,Aga Khan Fund for Economic Development (AKFED),,X,X,,,afghanistan_roshan
Afghanistan,Salaam,,,X,X,,,afghanistan_salaam
Albania,One Albania,4iG[4][5],27601 27603,X,X,X, | • Includes the former ALBtelecom Mobile network.[3],albania_one_albania
Albania,Vodafone Albania,Vodafone Group plc (99.9%),27602,X,X,X,,albania_vodafone_albania
Algeria,Djezzy,State-owned[2],,X,X,X,,algeria_djezzy
Algeria,Mobilis,Algérie Télécom,,X,X,X,,algeria_mobilis
Algeria,Ooredoo,Ooredoo (74.4%),,X,X,X,formerly Nedjma,algeria_ooredoo
American Samoa,American Samoa Telecommunications Authority,Government of American Samoa,,,X,X,ASTCA,american samoa_american_samoa_telecommunications_authority
American Samoa,Blue Sky Communications,Amper SpA,,X,X,X,,american samoa_blue_sky_communications
Andorra,Andorra Telecom,Government of Andorra[8],21303,,X,X,formerly Servei de Telecomunicacions d'Andorra,andorra_andorra_telecom
Angola,Africell,Africell Group,,,,,,angola_africell
Angola,Movicel,"Government (Angola Telecom) (18%), Correios Telegrafos de Angola (2%),  Porturil (40%), Modus Comicare (19%), Ipang (10%), Lambda (6%)",,X,X,X,,angola_movicel
Angola,Unitel,Sonangol (50%)[5] Government of Angola (50%)[5],,X,X,X,,angola_unitel
Anguilla,Digicel,Digicel,,,X,X,,anguilla_digicel
Anguilla,FLOW,,,,X,X,,anguilla_flow
Antigua and Barbuda,APUA,Antigua Public Utilities Authority,,,,X,inet,antigua and barbuda_apua
Antigua and Barbuda,Digicel,Digicel,,X,X,X,,antigua and barbuda_digicel
Antigua and Barbuda,FLOW,Liberty Latin America[2],,X,X,X,,antigua and barbuda_flow
Argentina,Claro,América Móvil (100%)[5],,X,X,X,,argentina_claro
Argentina,Movistar,Telefónica (100%)[6],,X,X,X,,argentina_movistar
Argentina,Nuestro[11],FECOSUR[12],,,,,using Personal network,argentina_nuestro[11]
Argentina,Personal,Telecom Argentina,,X,X,X,,argentina_personal
Argentina,Tuenti[8],Telefónica (100%)[10],,,,,using Movistar network,argentina_tuenti[8]
Armenia,Team,Telecom Armenia CJSC,28301,X,X,X,,armenia_team
Armenia,Ucom,Ucom,28310,X,X,X,,armenia_ucom
Armenia,Viva Armenia,Viva Armenia Fedilco Group Limited (Zhe Zhang (75%) and Konstantin Sokolov (25%)) (80%) and Government of Armenia (20%),28305,X,X,X,,armenia_viva_armenia
Aruba,Digicel,Digicel,,X,X,,,aruba_digicel
Aruba,SetarNV,Setar N.V.,,X,X,X,,aruba_setarnv
Australia,Optus,Singtel,,,,,,australia_optus
Australia,Telstra,Telstra,,,,,,australia_telstra
Australia,Vodafone AU,TPG Telecom,,,,,,australia_vodafone_au
Austria,A1,"A1 Group (América Móvil (60.6%), ÖBAG (28.4%), institutional and others (7.6%), retail (3.4%)).",23201,X,X,X,,austria_a1
Austria,Drei,CK Hutchison Holdings,23205,X,X,X, | • Includes the previous Orange network.,austria_drei
Austria,Magenta Telekom,Deutsche Telekom AG,23203,X,X,X,"formerly T-Mobile, max.mobil",austria_magenta_telekom
Azerbaijan,Azercell,AzInTelecom (state-owned company),40001,X,X,X,,azerbaijan_azercell
Azerbaijan,Bakcell,Neqsol Holding,40002,X,X,X,,azerbaijan_bakcell
Azerbaijan,Nakhtel,Nakhtel LLC,40006,X,X,X,operating in Nakhchivan Autonomous Republic,azerbaijan_nakhtel
Azerbaijan,Nar,Azerfon LLC,40004,X,X,X,,azerbaijan_nar
Bahamas,Aliv,Cable Bahamas Government of the Bahamas,,,X,X,,bahamas_aliv
Bahamas,BTC,"Liberty Latin America[2] (49% of ownership, 51% of voting rights),[14]",,X,X,X,,bahamas_btc
Bahrain,Batelco,Bahrain Telecommunications Company,,X,X,X,,bahrain_batelco
Bahrain,Zain,Zain Group (56.25%),,X,X,X,formerly MTC-Vodafone,bahrain_zain
Bahrain,stc,STC,,X,X,X,,bahrain_stc
Bangladesh,Banglalink,veon,,X,,X,,bangladesh_banglalink
Bangladesh,Citycell,,,,,,,bangladesh_citycell
Bangladesh,Grameenphone,Telenor (55.8%)Grameen Telecom (34.2%)General Public & other Institutions (10%),,X,,X,,bangladesh_grameenphone
Bangladesh,Robi,Axiata Group Berhad (61.82%)Bharti Airtel (28.18%)General public (10%),,X,,X,,bangladesh_robi
Bangladesh,Teletalk,State-owned,,X,X,X,,bangladesh_teletalk
Barbados,Digicel,Digicel (75)%[19],,X,X,X,,barbados_digicel
Barbados,FLOW,Liberty Latin America[2] (81%)[14],,X,X,X,,barbados_flow
Belarus,A1,A1 Group,25701,X,X,X,formerly velcom,belarus_a1
