Country,Operator,Brand,PLMN,tech_2g,tech_3g,tech_lte
Afghanistan,MTN,,,X,X,
Afghanistan,Roshan,,,X,X,
Afghanistan,Etisalat Afghanistan,,,X,X,X
Afghanistan,Afghan Wireless,,,X,X,X
Afghanistan,Salaam,,,X,X,
American Samoa,Blue Sky Communications,,,X,X,X
American Samoa,American Samoa Telecommunications Authority,,,,,X
Australia,Telstra,,,,,X
Australia,Optus,,,,,X
Australia,Vodafone AU,,,,,X
Bangladesh,Grameenphone,,,X,,X
Bangladesh,Robi,,,X,,X
Bangladesh,Banglalink,,,X,,X
Bangladesh,Teletalk,,,X,X,X
Bangladesh,Citycell,,,,,
Bhutan,B-Mobile,,,X,X,X
Bhutan,TashiCell,,,X,X,X
Bougainville,PNG dataco,,,X,X,X
Brunei,Datastream Technology Sdn Bhd,,,X,X,X
Brunei,Progresif Cellular Sdn Bhd,,,,X,
Cambodia,Metfone,,,X,X,X
Cambodia,Smart,,,X,X,X
Cambodia,Cellcard,,,X,X,X
China (mainland),China Mobile,,,X,,X
China (mainland),China Telecom,,,,,X
China (mainland),China Unicom,,,,X,X
China (mainland),China Broadnet,,,,,X
Cook Islands,Vodafone,,,X,X,X
Fiji,Vodafone,,,X,X,X
Fiji,Digicel,,,X,X,X
French Polynesia,VINI,,,,X,X
French Polynesia,Vodafone,,,,,X
French Polynesia,VITI,,,,,X
Guam,IT&E and Iconnect,,,,X,X
Guam,Docomo Pacific,,,X,X,X
Guam,GTA,,,X,X,X
Hong Kong,CMHK,,,X,X,X
Hong Kong,csl,,,X,X,X
Hong Kong,3,,,,X,X
Hong Kong,SmarTone,,,,X,X
India,Jio,,,,,X
India,Airtel,,,X,,X
India,Vi,,,X,,X
India,BSNL,,,X,,X
India,MTNL,,,X,X,
Indonesia,Telkomsel,,51010,X,,X
Indonesia,Indosat Ooredoo Hutchison,,"51001, 51021 and 51089",X,,X
Indonesia,XLSmart,,"51009, 51011 and 51028",X,,X
Japan,NTT Docomo,,,,,X
Japan,au,,,,,X
Japan,SoftBank Corp. & Ymobile,,,,,X
Japan,Rakuten Mobile,,,,,X
Japan,Disney Mobile,,,,X,X
Japan,b-mobile,,,,X,X
Japan,IIJmio,,,,,
Kazakhstan,Beeline,,40101,X,X,X
Kazakhstan,Kcell,,40102,X,X,X
Kazakhstan,Tele2 Kazakhstan,,40177,X,X,X
Kazakhstan,Forte Mobile,,,X,X,X
Kyrgyzstan,MegaCom,,43705,X,X,X
Kyrgyzstan,Beeline,,43701,X,X,
Kyrgyzstan,Fonex,,43703,,,
Kyrgyzstan,O!,,43709,X,X,X
Kyrgyzstan,Katel,,,,,
Kyrgyzstan,Nexi,,,,,
Kyrgyzstan,Sapat Mobile,,,,,
Kyrgyzstan,iTel,,43711,,,
Kyrgyzstan,Saima Telecom,,43710,,,
Laos,Unitel,,,X,X,X
Laos,Lao Telecom,,,X,X,X
Laos,TPLUS,,,X,X,
Laos,ETL,,,X,X,
Macau,CTM,,,,X,X
Macau,China Telecom,,,,,X
Macau,3 Macau,,,,X,X
,CelcomDigi,,,,,X
,Maxis,,,,,X
,U Mobile,,,,,X
,Yes,,,,,X
,Unifi Mobile,,,,,X
,Digital Nasional Berhad,,,,,X
,Redtone,,,,,
,ALTEL,,,,,X
,XOX,,,,,
,redONE,,,,,
,Tune Talk,,,,,
,HelloSIM,,,,,
,Pavo Communications,,,,,
,MY Evolution,,,,,
,Telin Malaysia,,,,,
Maldives,Dhiraagu,,,X,X,X
Maldives,Ooredoo Maldives,,,X,X,X
Marshall Islands,NTA,,,X,X,X
"Micronesia, Federated States of",FSM Telecom,,,X,X,
Mongolia,Mobicom,,,X,X,X
