Country,Operator,Brand,PLMN,tech_2g,tech_3g,tech_lte
,ALTEL,,,,,X
,CelcomDigi,,,,,X
,Digital Nasional Berhad,,,,,X
,Dito Telecommunity,,,,,X
,GOMO,,,,,
,Globe Telecom,,,X,X,X
,HelloSIM,,,,,
,MY Evolution,,,,,
,Maxis,,,,,X
,Now Telecom,,,,,
,Pavo Communications,,,,,
,Redtone,,,,,
,Smart Communications,,,X,X,X
,TM,,,,,X
,TNT,,,,,X
,Telin Malaysia,,,,,
,Tune Talk,,,,,
,U Mobile,,,,,X
,Unifi Mobile,,,,,X
,XOX,,,,,
,Yes,,,,,X
,redONE,,,,,
Afghanistan,Afghan Wireless,,,X,X,X
Afghanistan,Etisalat Afghanistan,,,X,X,X
Afghanistan,MTN,,,X,X,
Afghanistan,Roshan,,,X,X,
Afghanistan,Salaam,,,X,X,
Albania,One Albania,,27601 27603,X,X,X
Albania,Vodafone Albania,,27602,X,X,X
Algeria,Djezzy,,,X,X,X
Algeria,Mobilis,,,X,X,X
Algeria,Ooredoo,,,X,X,X
American Samoa,American Samoa Telecommunications Authority,,,,,X
American Samoa,Blue Sky Communications,,,X,X,X
Andorra,Andorra Telecom,,21303,,X,X
Angola,Africell,,,,,
Angola,Movicel,,,X,X,X
Angola,Unitel,,,X,X,X
Anguilla,Digicel,,,,X,X
Anguilla,FLOW,,,,X,X
Antigua and Barbuda,APUA,,,,,X
Antigua and Barbuda,Digicel,,,X,X,X
Antigua and Barbuda,FLOW,,,X,X,X
Argentina,Claro,,,X,X,X
Argentina,Movistar,,,X,X,X
Argentina,Nuestro,,,,,
Argentina,Personal,,,X,X,X
Argentina,Tuenti,,,,,
Armenia,Team,,28301,X,X,X
Armenia,Ucom,,28310,X,X,X
Armenia,Viva Armenia,,28305,X,X,X
Aruba,Digicel,,,X,X,
Aruba,SetarNV,,,X,X,X
Australia,Optus,,,,,X
Australia,Telstra,,,,,X
Australia,Vodafone AU,,,,,X
Austria,A1,,23201,X,X,X
Austria,Drei,,23205,X,X,X
Austria,Magenta Telekom,,23203,X,X,X
Azerbaijan,Azercell,,40001,X,X,X
Azerbaijan,Bakcell,,40002,X,X,X
Azerbaijan,Nakhtel,,40006,X,X,X
Azerbaijan,Nar,,40004,X,X,X
Bahamas,Aliv,,,,X,X
Bahamas,BTC,,,X,X,X
Bahrain,Batelco,,,X,X,X
Bahrain,Zain,,,X,X,X
Bahrain,stc,,,X,X,X
Bangladesh,Banglalink,,,X,,X
Bangladesh,Citycell,,,,,
Bangladesh,Grameenphone,,,X,,X
Bangladesh,Robi,,,X,,X
Bangladesh,Teletalk,,,X,X,X
Barbados,Digicel,,,X,X,X
Barbados,FLOW,,,X,X,X
Belarus,A1,,25701,X,X,X
Belarus,Life,,25704,X,X,X
Belarus,MTS,,25702,X,X,X
Belgium,Base/Telenet,,20620,X,X,X
Belgium,DIGI,,20612,,,X
Belgium,Orange,,20610,X,X,X
Belgium,Proximus,,20601,X,X,X
Belize,Digi,,,X,X,X
Belize,Smart,,,,,X
Benin,BBcom,,,X,,
Benin,Glo,,,X,,
Benin,Libercom,,,X,,
Benin,MTN,,,X,X,X
Benin,Moov,,,X,X,X
Bermuda,Digicel,,,X,X,X
Bermuda,One,,,X,X,X
Bhutan,B-Mobile,,,X,X,X
Bhutan,TashiCell,,,X,X,X
Bolivia,Entel,,,X,X,X
Bolivia,Tigo,,,X,X,X
Bolivia,Viva,,,X,X,
Bonaire,Digicel,,,X,X,X
Bonaire,FLOW,,,X,X,X
Bosnia and Herzegovina,BH Mobile,,21890,X,X,X
Bosnia and Herzegovina,HT ERONET,,21803,X,X,X
Bosnia and Herzegovina,haloo,,21803,X,X,X
Bosnia and Herzegovina,m:tel,,21805,X,X,X
Botswana,Mascom,,,X,X,X
Botswana,Orange,,,X,X,X
Botswana,btc,,,X,X,
Bougainville,PNG dataco,,,X,X,X
Brazil,Algar Telecom,,,X,X,X
Brazil,Claro,,,X,X,X
Brazil,Surf,,,,,X
Brazil,TIM,,,X,X,X
Brazil,Vivo,,,X,X,X
British Virgin Islands,CCT,,,X,X,X
British Virgin Islands,Digicel,,,X,X,X
British Virgin Islands,FLOW,,,X,X,X
Brunei,Datastream Technology Sdn Bhd,,,X,X,X
Brunei,Progresif Cellular Sdn Bhd,,,,X,
Bulgaria,A1,,28401,X,X,X
Bulgaria,Vivacom,,28403,X,X,X
Bulgaria,Yettel,,28405,X,X,X
Burkina Faso,Orange,,,X,X,
Burkina Faso,Telecel Faso,,,X,,
Burkina Faso,Telmob,,,X,X,
Burundi,Econet Leo,,,X,X,X
Burundi,Lumitel,,,X,X,X
Burundi,ONAMOB,,,X,,
Burundi,Smart Mobile,,,X,X,
Cambodia,Cellcard,,,X,X,X
Cambodia,Metfone,,,X,X,X
Cambodia,Smart,,,X,X,X
Cameroon,Camtel,,,X,,
Cameroon,MTN,,,X,,X
Cameroon,Nexttel,,,X,X,
Cameroon,Orange,,,X,,X
Cameroon,YooMee,,,,,
Canada,Bell,,,,X,X
Canada,Rogers,,,X,X,X
Canada,SaskTel,,,,X,X
Canada,Telus,,,,X,X
Canada,Vidéotron,,,,X,X
Cape Verde,CV Móvel,,,X,X,
Cape Verde,T-MAIS,,,X,,
Cayman Islands,Digicel,,,X,X,X
Cayman Islands,FLOW Cayman,,,X,X,X
Central African Republic,Moov Africa,,,X,,
Central African Republic,Orange,,,X,X,
Central African Republic,azur,,,X,,
Central African Republic,telecel,,,X,,
Chad,Airtel,,,X,X,X
Chad,Moov,,,X,X,X
Chile,Claro,,,X,X,X
Chile,Entel,,,X,X,X
