carrier_name,country,CC,NDC,country_upper,carrier_name_upper
Etisalet,Afghanistan,93.0,78,AFGHANISTAN,ETISALETAFGH
Etisalet,Afghanistan,93.0,,AFGHANISTAN,ETISALETAFGH
Etisalet,Afghanistan,93.0,50,AFGHANISTAN,ETISALETAFGH
MTN,Afghanistan,93.0,40,AFGHANISTAN,MTNAFGWL
MTN,Afghanistan,93.0,77,AFGHANISTAN,MTNAFGWL
MTN,Afghanistan,93.0,76,AFGHANISTAN,MTNAFGWL
TDC afgh,Afghanistan,93.0,72,AFGHANISTAN,TDC AFGH
TDC afgh,Afghanistan,93.0,79,AFGHANISTAN,TDC AFGH
TDC afgh,Afghanistan,93.0,20,AFGHANISTAN,TDC AFGH
ALBtelecom,Albania,355.0,67,ALBANIA,ALBTELECOM
ALBtelecom,Albania,355.0,,ALBANIA,ALBTELECOM
ALBtelecom,Albania,355.0,03,ALBANIA,ALBTELECOM
Plus Albania,Albania,355.0,663,ALBANIA,PLUS ALBANIA
Plus Albania,Albania,355.0,667,ALBANIA,PLUS ALBANIA
Plus Albania,Albania,355.0,662,ALBANIA,PLUS ALBANIA
Plus Albania,Albania,355.0,664,ALBANIA,PLUS ALBANIA
Plus Albania,Albania,355.0,669,ALBANIA,PLUS ALBANIA
Plus Albania,Albania,355.0,666,ALBANIA,PLUS ALBANIA
Plus Albania,Albania,355.0,04,ALBANIA,PLUS ALBANIA
Plus Albania,Albania,355.0,665,ALBANIA,PLUS ALBANIA
Plus Albania,Albania,355.0,668,ALBANIA,PLUS ALBANIA
Plus Albania,Albania,355.0,,ALBANIA,PLUS ALBANIA
Telekom Alb,Albania,355.0,,ALBANIA,TELEKOM ALB
Telekom Alb,Albania,355.0,01,ALBANIA,TELEKOM ALB
Telekom Alb,Albania,355.0,68,ALBANIA,TELEKOM ALB
Telenor,Albania,355.0,,ALBANIA,TELENORSERB
Telenor,Albania,355.0,01,ALBANIA,TELENORSERB
Telenor,Albania,355.0,68,ALBANIA,TELENORSERB
Vodafone,Albania,355.0,69,ALBANIA,VODAFONEAL
Vodafone,Albania,355.0,02,ALBANIA,VODAFONEAL
Vodafone,Albania,355.0,,ALBANIA,VODAFONEAL
Mobilis,Algeria,213.0,660,ALGERIA,ATM MOBILIS
Mobilis,Algeria,213.0,,ALGERIA,ATM MOBILIS
Mobilis,Algeria,213.0,01,ALGERIA,ATM MOBILIS
Ooredoo,Algeria,213.0,551,ALGERIA,OOREDOO ALG
Ooredoo,Algeria,213.0,552,ALGERIA,OOREDOO ALG
Ooredoo,Algeria,213.0,559,ALGERIA,OOREDOO ALG
Ooredoo,Algeria,213.0,555,ALGERIA,OOREDOO ALG
Ooredoo,Algeria,213.0,558,ALGERIA,OOREDOO ALG
Ooredoo,Algeria,213.0,03,ALGERIA,OOREDOO ALG
Ooredoo,Algeria,213.0,550,ALGERIA,OOREDOO ALG
Ooredoo,Algeria,213.0,556,ALGERIA,OOREDOO ALG
Ooredoo,Algeria,213.0,560,ALGERIA,OOREDOO ALG
Ooredoo,Algeria,213.0,553,ALGERIA,OOREDOO ALG
Ooredoo,Algeria,213.0,554,ALGERIA,OOREDOO ALG
Ooredoo,Algeria,213.0,557,ALGERIA,OOREDOO ALG
Djezzy,Algeria,213.0,,ALGERIA,OPTIMUMTELEC
Djezzy,Algeria,213.0,02,ALGERIA,OPTIMUMTELEC
Djezzy,Algeria,213.0,70,ALGERIA,OPTIMUMTELEC
Bluesky,American Samoa,1.0,684,AMERICAN SAMOA,BLUESKYSAMA
Bluesky,American Samoa,1.0,110,AMERICAN SAMOA,BLUESKYSAMA
AndorraTelec,Andorra,376.0,5,ANDORRA,ANDORRATELEC
AndorraTelec,Andorra,376.0,6,ANDORRA,ANDORRATELEC
AndorraTelec,Andorra,376.0,3,ANDORRA,ANDORRATELEC
