,Country,Operator,Ownership,MCCMNC,Technology,Notes,Includes
0,Albania,One Albania,4iG[4][5],27601 27603,"GSM-900/1800 MHz (GPRS, EDGE) 2100 MHz UMTS, HSDPA, HSUPA, HSPA, HSPA+, DC-HSPA+ 800/1800/2600 MHz LTE, LTE-A VoLTE 3400/3500 MHz 5G NR (in development)",,
1,Albania,Vodafone Albania,Vodafone Group plc (99.9%),27602,"GSM-900/1800 MHz (GPRS, EDGE) 2100 MHz UMTS, HSDPA, HSUPA, HSPA, HSPA+, DC-HSPA+ 800/1800/2100/2600 MHz LTE, LTE-A, LTE-A Pro VoLTE 3700 MHz/3800 MHz 5G NR",,
2,Andorra,Andorra Telecom,Government of Andorra[8],21303,"900/1800 MHz GPRS 900/2100 MHz UMTS, HSDPA 800/1800/2100 MHz LTE-LTE-A VoLTE 3500 MHz - 5G NR",,
3,Armenia,Viva Armenia,Viva Armenia Fedilco Group Limited (Zhe Zhang (75%) and Konstantin Sokolov (25%)) (80%) and Government of Armenia (20%),28305,"GSM-900/1800 MHz (GPRS, EDGE) UMTS-900/2100 MHz (Band: B1/B8) (UMTS, HSDPA) LTE, LTE-A, 5G, VoLTE, VoWiFi LTE-1800/2600 MHz (Band: B3/B7) (LTE)",,
4,Armenia,Team,Telecom Armenia CJSC,28301,"GSM-900/1800 MHz (GPRS, EDGE) UMTS-900/2100 MHz (Band: B1/B8) (UMTS, HSDPA) LTE-LTE-A (900 MHz, 1800 MHz)",,
5,Armenia,Ucom,Ucom,28310,"GSM-900/1800 MHz (GPRS, EDGE) UMTS-900/2100 MHz (Band: B1/B8) UMTS, HSDPA LTE-LTE-A -1800/2600 MHz (Band: B3/B7) (LTE)",,
6,Austria,A1,"A1 Group (América Móvil (60.6%), ÖBAG (28.4%), institutional and others (7.6%), retail (3.4%)).",23201,"GSM-900/1800 (GPRS, EDGE)  2100 MHz UMTS, HSDPA, HSUPA, HSPA+, DC-HSPA+  800/1800/2600 MHz LTE, LTE-A VoLTE, VoWiFi  3500 MHz 5G NR",,
7,Austria,Magenta Telekom,Deutsche Telekom AG,23203,"GSM-900/1800 (GPRS, EDGE)  900/2100 MHz UMTS, HSDPA, HSUPA, HSPA+, DC-HSPA+ (roams on 3's UMTS network where no UMTS)  800/900/1800/2100/2600 MHz LTE, LTE-A VoLTE, VoWiFi  700/3500 MHz 5G NR",,
8,Austria,Drei,CK Hutchison Holdings,23205,"GSM-900/1800 (GPRS, EDGE)  (roams on Magenta Telekom's GSM network when needed)  2100 MHz UMTS, HSDPA, HSUPA, HSPA+, DC-HSPA+  900/1800/2100/2600 MHz LTE, LTE-A VoLTE, VoWiFi  3500 MHz 5G NR",,
9,Azerbaijan,Azercell,AzInTelecom (state-owned company),40001,"GSM 900 MHz (GPRS, EDGE)  2100 MHz UMTS, HSDPA, HSUPA, HSPA, HSPA+, DC-HSPA+ 1800 MHz LTE",,
10,Azerbaijan,Bakcell,Neqsol Holding,40002,"GSM 900 MHz (GPRS, EDGE) 2100 MHz UMTS, HSDPA, HSUPA, HSPA, HSPA+, DC-HSPA+ 1800 MHz LTE[16]",,
11,Azerbaijan,Nar,Azerfon LLC,40004,"GSM 1800 MHz (GPRS, EDGE) 2100 MHz UMTS, HSDPA, HSUPA, HSPA, HSPA+, DC-HSPA+ 1800 MHz LTE",,
12,Azerbaijan,Nakhtel,Nakhtel LLC,40006,"GSM 900 MHz (GPRS, EDGE) 2100 MHz UMTS, HSDPA, HSUPA, HSPA, HSPA+, DC-HSPA+ 1800 MHz LTE CDMA 800",,
13,Belarus,MTS,Beltelecom (51%)  MTS (49%),25702,"GSM-900/1800 (GPRS, EDGE) 900/2100 MHz UMTS, HSDPA, HSUPA, HSPA+ 800/1800/2600 MHz LTE, LTE-A VoLTE",,
14,Belarus,A1,A1 Group,25701,"GSM-900/1800 (GPRS, EDGE) 900/2100 MHz UMTS, HSDPA, HSUPA, DC-HSPA+ 800/1800/2600 MHz LTE, LTE-A VoLTE, VoWiFi",,
15,Belarus,Life,Turkcell,25704,"GSM-900/1800 (GPRS, EDGE) 2100 MHz UMTS, HSDPA, HSUPA, HSPA+ 800/1800/2600 MHz LTE, LTE-A",,
16,Belgium,Proximus,"Proximus Group N.V./S.A.(Government of Belgium 53.3%, NJJ 6.61%[21])",20601,"900/1800 GSM (EDGE) 900/2100 MHz UMTS, DC-HSPA+ 800/1800/2600 MHz LTE, LTE-A VoLTE  2100/3500 MHz 5G NR",,
17,Belgium,Orange,"Orange S.A. (76.97%), others (23.03%)",20610,"900/1800 GSM (EDGE) 900/2100 MHz UMTS, DC-HSPA+ 800/1800/2600 MHz LTE, LTE-A VoLTE, VoWiFi",,
18,Belgium,Base/Telenet,Telenet Group N.V./S.A. (Liberty Global 100%),20620,"900/1800 GSM (EDGE) 900/2100 MHz UMTS, DC-HSPA+ 800/1800/2600 MHz LTE, LTE-A VoLTE, VoWiFi",,
19,Belgium,DIGI,"51% CityMesh, (subsidiary of Cegeka Groep N.V.)  49% Digi Communications N.V.",20612,Roaming on Proximus LTE/LTE-A Network 700/900/1800/2100/2600/3600 MHz 5G NR[24] VoLTE,,
20,Bosnia and Herzegovina,BH Mobile,"Federation of Bosnia and Herzegovina (90%), free float (10%)",21890,"GSM-900 (GPRS, EDGE) 2100 MHz UMTS, HSPA, HSPA+ 1800 MHz LTE VoLTE, ViLTE, eSIM (postpaid only) 5G NR (in development)",,
21,Bosnia and Herzegovina,m:tel,Telekom Srbija,21805,"GSM-900/1800 (GPRS, EDGE), 900/2100 MHz UMTS, HSPA 800/1800 MHz LTE, LTE-A, LTE-A Pro VoLTE, ViLTE, eSIM (postpaid only)",,
