Country_x,Operator_x,Brand_x,PLMN_x,tech_2g,tech_3g,tech_lte,operator_name_upper,country_upper,MCC,MNC,PLMN_y,Region,Country_y,ISO,Operator_y,Brand_y,TADIG,Bands,brand_upper
,ALTEL,,,,,X,ALTEL,,,,,,,,,,,,
,CelcomDigi,,,,,X,CELCOMDIGI,,,,,,,,,,,,
,Digital Nasional Berhad,,,,,X,DIGITAL NASIONAL BERHAD,,,,,,,,,,,,
,Dito Telecommunity,,,,,X,DITO TELECOMMUNITY,,,,,,,,,,,,
,GOMO,,,,,,GOMO,,,,,,,,,,,,
,Globe Telecom,,,X,X,X,GLOBE TELECOM,,,,,,,,,,,,
,HelloSIM,,,,,,HELLOSIM,,,,,,,,,,,,
,MY Evolution,,,,,,MY EVOLUTION,,,,,,,,,,,,
,Maxis,,,,,X,MAXIS,,,,,,,,,,,,
,Now Telecom,,,,,,NOW TELECOM,,,,,,,,,,,,
,Pavo Communications,,,,,,PAVO COMMUNICATIONS,,,,,,,,,,,,
,Redtone,,,,,,REDTONE,,,,,,,,,,,,
,Smart Communications,,,X,X,X,SMART COMMUNICATIONS,,,,,,,,,,,,
,TM,,,,,X,TM,,,,,,,,,,,,
,TNT,,,,,X,TNT,,,,,,,,,,,,
,Telin Malaysia,,,,,,TELIN MALAYSIA,,,,,,,,,,,,
,Tune Talk,,,,,,TUNE TALK,,,,,,,,,,,,
,U Mobile,,,,,X,U MOBILE,,,,,,,,,,,,
,Unifi Mobile,,,,,X,UNIFI MOBILE,,,,,,,,,,,,
,XOX,,,,,,XOX,,,,,,,,,,,,
,Yes,,,,,X,YES,,,,,,,,,,,,
,redONE,,,,,,REDONE,,,,,,,,,,,,
Afghanistan,Afghan Wireless,,,X,X,X,AFGHAN WIRELESS,AFGHANISTAN,,,,,,,,,,,
Afghanistan,Etisalat Afghanistan,,,X,X,X,ETISALAT AFGHANISTAN,AFGHANISTAN,,,,,,,,,,,
Afghanistan,Salaam,,,X,X,,SALAAM,AFGHANISTAN,412.0,80.0,41280.0,Asia and the Middle East,Afghanistan,AF,Afghan Telecom,Salaam,,GSM 900 / GSM 1800 / UMTS 2100,SALAAM
Afghanistan,Salaam,,,X,X,,SALAAM,AFGHANISTAN,412.0,88.0,41288.0,Asia and the Middle East,Afghanistan,AF,Afghan Telecom,Salaam,,GSM 900 / GSM 1800 / UMTS 2100,SALAAM
Albania,One Albania,,27601 27603,X,X,X,ONE ALBANIA,ALBANIA,,,,,,,,,,,
Albania,Vodafone Albania,,27602,X,X,X,VODAFONE ALBANIA,ALBANIA,,,,,,,,,,,
American Samoa,American Samoa Telecommunications Authority,,,,,X,AMERICAN SAMOA TELECOMMUNICATIONS AUTHORITY,AMERICAN SAMOA,,,,,,,,,,,
American Samoa,Blue Sky Communications,,,X,X,X,BLUE SKY COMMUNICATIONS,AMERICAN SAMOA,,,,,,,,,,,
Andorra,Andorra Telecom,,21303,,X,X,ANDORRA TELECOM,ANDORRA,,,,,,,,,,,
Angola,Africell,,,,,,AFRICELL,ANGOLA,,,,,,,,,,,
Angola,Movicel,,,X,X,X,MOVICEL,ANGOLA,631.0,4.0,63104.0,Africa,Angola,AO,MOVICEL Telecommunications S.A.,MOVICEL,,GSM 900 / GSM 1800 / UMTS 900 / LTE 1800,MOVICEL
Anguilla,Digicel,,,,X,X,DIGICEL,ANGUILLA,,,,,,,,,,,
Anguilla,FLOW,,,,X,X,FLOW,ANGUILLA,,,,,,,,,,,
Antigua and Barbuda,APUA,,,,,X,APUA,ANTIGUA AND BARBUDA,344.0,30.0,344030.0,North America and the Caribbean,Antigua and Barbuda,AG,Antigua Public Utilities Authority,APUA,,GSM 1900,APUA
Antigua and Barbuda,Digicel,,,X,X,X,DIGICEL,ANTIGUA AND BARBUDA,344.0,50.0,344050.0,North America and the Caribbean,Antigua and Barbuda,AG,Antigua Wireless Ventures Limited,Digicel,,GSM 900 / GSM 1900 / UMTS 850 / LTE 700,DIGICEL
Argentina,Claro,,,X,X,X,CLARO,ARGENTINA,722.0,320.0,722320.0,South and Central America,Argentina,AR,AMX Argentina S.A.,Claro,,GSM 850 / GSM 1900 / UMTS 850 / UMTS 1900 / LTE 1700,CLARO
Argentina,Claro,,,X,X,X,CLARO,ARGENTINA,722.0,330.0,722330.0,South and Central America,Argentina,AR,AMX Argentina S.A.,Claro,,GSM 850 / GSM 1900 / UMTS 850 / UMTS 1900 / LTE 1700,CLARO
Argentina,Movistar,,,X,X,X,MOVISTAR,ARGENTINA,722.0,10.0,722010.0,South and Central America,Argentina,AR,Telefónica Móviles Argentina S.A.,Movistar,,GSM 850 / GSM 1900 / UMTS 850 / UMTS 1900 / LTE 700 / LTE 1700 / LTE 2600,MOVISTAR
Argentina,Movistar,,,X,X,X,MOVISTAR,ARGENTINA,722.0,70.0,722070.0,South and Central America,Argentina,AR,Telefónica Móviles Argentina S.A.,Movistar,,GSM 1900,MOVISTAR
Argentina,Nuestro,,,,,,NUESTRO,ARGENTINA,,,,,,,,,,,
Argentina,Personal,,,X,X,X,PERSONAL,ARGENTINA,722.0,34.0,722034.0,South and Central America,Argentina,AR,Telecom Personal S.A.,Personal,,,PERSONAL
Argentina,Personal,,,X,X,X,PERSONAL,ARGENTINA,722.0,341.0,722341.0,South and Central America,Argentina,AR,Telecom Personal S.A.,Personal,,GSM 850 / GSM 1900 / UMTS 850 / UMTS 1900 / LTE 700 / LTE 1700 / LTE 2600,PERSONAL
